account_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
all_weather,All Weather,benchmark,251415477.1287,10755434.3658,240660042.7629,0.3408,0.1774,0.0946,188.0,4.0,1.1863,1.7352
smic_follower,SMIC Report Follower,account,151185476.2189,378.4642,151185097.7547,0.1446,0.0717,0.155,2161.0,35.0,0.4425,0.5651
smic_follower_v2,SMIC Report Follower with Stops,account,174878046.6338,49803.0609,174828243.5728,0.2006,0.1009,0.1878,1709.0,12.0,0.5907,0.8085
pit_score_top3,PIT Score Top 3 Equal Weight,account,217932053.3068,1419853.3068,216512200.0,0.2854,0.1467,0.534,220.0,3.0,0.5243,0.8105
pit_score_top5,PIT Score Top 5 Equal Weight,account,268848457.7057,1985840.982,266862616.7238,0.3669,0.1921,0.3957,368.0,5.0,0.6549,0.9986
pit_score_top10,PIT Score Top 10 Equal Weight,account,225957474.2164,192843.0899,225764631.1265,0.2994,0.1544,0.2847,714.0,10.0,0.6109,0.9134
pit_momentum_top5,PIT Momentum Top 5,account,326664535.9573,727991.2386,325936544.7187,0.4434,0.2359,0.3227,494.0,5.0,0.7563,1.0951
pit_trend_top5,PIT Trend Top 5,account,403611687.2868,1268527.2868,402343160.0,0.5277,0.2852,0.2763,491.0,5.0,0.8613,1.2385
pit_fresh_top5,PIT Fresh Top 5,account,261560961.6578,1336536.5159,260224425.1418,0.3562,0.1861,0.2464,448.0,5.0,0.6572,0.9509
pit_trend_top7,PIT Trend Top 7,account,314200425.2561,1456845.4025,312743579.8537,0.4281,0.227,0.2767,648.0,7.0,0.7793,1.1149
pit_trend_stop_top5,PIT Trend Stop Top 5,account,225626384.5191,1264254.5191,224362130.0,0.2988,0.1541,0.2284,519.0,5.0,0.612,0.8439
pit_trend_stop_top7,PIT Trend Stop Top 7,account,181737140.371,2171241.8068,179565898.5642,0.2154,0.1088,0.2038,684.0,7.0,0.5104,0.6915
pit_trend_rotate_top5,PIT Trend Rotate Top 5,account,186902767.0622,42257.0622,186860510.0,0.2261,0.1146,0.3877,1128.0,5.0,0.4765,0.6801
pit_trend_rotate_fast_top5,PIT Trend Rotate Top 5 Twice Monthly,account,150426164.9667,1994144.9667,148432020.0,0.1426,0.0707,0.3715,1427.0,5.0,0.3643,0.5252
pit_trend_rotate_stop_top5,PIT Trend Stop Rotate Top 5,account,153211461.6506,2124271.6506,151087190.0,0.1497,0.0743,0.3554,1246.0,5.0,0.374,0.526
pit_trend_persist20_top5,PIT Trend Persist Top 20 Band,account,487504217.4838,287637.4838,487216580.0,0.6043,0.3309,0.2724,462.0,5.0,0.9936,1.4667
