rank,strategy_id,family,hit_basis,goal_hit,robust_goal_hit,annualized_sharpe,annualized_sortino_lpm0,annualized_sortino_downside_std,cagr,total_return,max_drawdown,ann_vol,days,split_2021_2023_sharpe,split_2021_2023_sortino_lpm0,split_2021_2023_sortino_downside_std,split_2024_2026_sharpe,split_2024_2026_sortino_lpm0,split_2024_2026_sortino_downside_std,params_summary
1,all_weather_momfilter_lb504,persona_momentum_filter,Sortino(LPM0),True,False,1.7581918583869602,2.711776806794856,1.971671368027781,0.20769909436487777,1.8510255132121576,-0.11772690196513047,0.11086611914330936,1399.0,0.9556358405552388,1.481463194157069,0.935024076117033,2.4268946764255777,3.722190176584103,3.3252813820493956,"family=persona_momentum_filter, persona=all_weather, lookback=504, filter=equity_momentum_positive"
2,all_weather_mom_vol0.2_lb504,persona_momentum_volcap,Sortino(LPM0),True,False,1.7581918583869602,2.711776806794856,1.971671368027781,0.20769909436487777,1.8510255132121576,-0.11772690196513047,0.11086611914330936,1399.0,0.9556358405552388,1.481463194157069,0.935024076117033,2.4268946764255777,3.722190176584103,3.3252813820493956,"family=persona_momentum_volcap, persona=all_weather, lookback=504, filter=equity_momentum_positive, vol_target=0.2, max_leverage=1.0"
3,all_weather_mom_vol0.15_lb504,persona_momentum_volcap,Sortino(LPM0),True,False,1.7548965840750077,2.703148290643883,1.9663077410555652,0.20635973917407058,1.8335165976643104,-0.11772690196513047,0.11041320522067193,1399.0,0.9556358405552388,1.481463194157069,0.935024076117033,2.42139151897541,3.7079759649607382,3.313213328033251,"family=persona_momentum_volcap, persona=all_weather, lookback=504, filter=equity_momentum_positive, vol_target=0.15, max_leverage=1.0"
4,rotate_trail_sharpe_lb189_top4_none,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.714893158312999,2.6493233959519844,2.195938799271472,0.5608206315436763,10.841754234452734,-0.16663416593341007,0.2832123675523364,1399.0,1.4016862313930372,2.2006739860139355,1.8627274734166552,2.0790093929980866,3.157876069151069,2.572878824076448,"family=persona_rotation, lookback=189, top_k=4, score=trail_sharpe, gate=none"
5,rotate_trail_sharpe_lb189_top4_score_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.714893158312999,2.6493233959519844,2.195938799271472,0.5608206315436763,10.841754234452734,-0.16663416593341007,0.2832123675523364,1399.0,1.4016862313930372,2.2006739860139355,1.8627274734166552,2.0790093929980866,3.157876069151069,2.572878824076448,"family=persona_rotation, lookback=189, top_k=4, score=trail_sharpe, gate=score_pos"
6,rotate_trail_sharpe_lb189_top4_mom_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.714893158312999,2.6493233959519844,2.195938799271472,0.5608206315436763,10.841754234452734,-0.16663416593341007,0.2832123675523364,1399.0,1.4016862313930372,2.2006739860139355,1.8627274734166552,2.0790093929980866,3.157876069151069,2.572878824076448,"family=persona_rotation, lookback=189, top_k=4, score=trail_sharpe, gate=mom_pos"
7,rotate_trail_sharpe_lb189_top4_both_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.714893158312999,2.6493233959519844,2.195938799271472,0.5608206315436763,10.841754234452734,-0.16663416593341007,0.2832123675523364,1399.0,1.4016862313930372,2.2006739860139355,1.8627274734166552,2.0790093929980866,3.157876069151069,2.572878824076448,"family=persona_rotation, lookback=189, top_k=4, score=trail_sharpe, gate=both_pos"
8,rotate_trail_sharpe_lb189_top5_none,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6972765547152335,2.6382516512339658,2.217248443220011,0.5449676989944594,10.189290879980746,-0.182273043496871,0.27947407721070705,1399.0,1.3540515791754262,2.1044023582440348,1.7828082581928433,2.1091345559548977,3.2765543852999675,2.7340575926126185,"family=persona_rotation, lookback=189, top_k=5, score=trail_sharpe, gate=none"
9,rotate_trail_sharpe_lb189_top5_score_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6972765547152335,2.6382516512339658,2.217248443220011,0.5449676989944594,10.189290879980746,-0.182273043496871,0.27947407721070705,1399.0,1.3540515791754262,2.1044023582440348,1.7828082581928433,2.1091345559548977,3.2765543852999675,2.7340575926126185,"family=persona_rotation, lookback=189, top_k=5, score=trail_sharpe, gate=score_pos"
10,rotate_trail_sharpe_lb189_top5_mom_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6918161860589431,2.6270782970226763,2.208359461174654,0.5420039366496616,10.070646310156658,-0.1846626196411264,0.2791960205240313,1399.0,1.3434574856842103,2.0838667649282354,1.766198793083072,2.1091345559548977,3.2765543852999675,2.7340575926126185,"family=persona_rotation, lookback=189, top_k=5, score=trail_sharpe, gate=mom_pos"
11,rotate_trail_sharpe_lb189_top5_both_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6918161860589431,2.6270782970226763,2.208359461174654,0.5420039366496616,10.070646310156658,-0.1846626196411264,0.2791960205240313,1399.0,1.3434574856842103,2.0838667649282354,1.766198793083072,2.1091345559548977,3.2765543852999675,2.7340575926126185,"family=persona_rotation, lookback=189, top_k=5, score=trail_sharpe, gate=both_pos"
