strategy_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
all_weather,올웨더,benchmark,229694119.5115,8419395.8203,221274723.6912,0.3122,0.163,0.0946,186.0,4.0,1.1048,1.6143
smic_follower,단순 리포트 추종,benchmark,157197797.6601,1019.0154,157196778.6447,0.1662,0.0838,0.1917,2005.0,38.0,0.4781,0.6149
smic_follower_v2,손절 리포트 추종,benchmark,149625764.6951,4268.6056,149621496.0895,0.1473,0.0739,0.1862,1583.0,10.0,0.4468,0.6162
benchmark_kodex200,KODEX 200 (069500.KS),benchmark,299952545.3023,104300.3023,299848245.0,0.4165,0.2223,0.199,65.0,1.0,0.9553,1.2267
benchmark_qqq,QQQ (NASDAQ-100),benchmark,207683121.1712,734386.4596,206948734.7116,0.2733,0.1415,0.1856,65.0,1.0,0.6487,0.9215
benchmark_spy,SPY (S&P 500),benchmark,180842531.7617,446272.843,180396258.9187,0.22,0.1124,0.1487,65.0,1.0,0.6279,0.8826
benchmark_gld,GLD (Gold ETF),benchmark,229798432.1191,265844.3797,229532587.7394,0.3124,0.1631,0.1483,65.0,1.0,0.8359,1.1701
weak_oracle,미래정보 상한선,oracle,4757545763.5542,4757545763.5542,0.0,1.709,1.0441,0.2163,2020.0,0.0,3.2915,4.1093
stock_rule_target_gap_reversal_ma10_30_w_age0_60_pool10_hold5_winner_compress_reversal_gap,종목룰 06: 목표가 괴리 되돌림,strategy,219540922.4435,40252.4435,219500670.0,0.2947,0.1533,0.2988,594.0,5.0,0.589,0.7578
stock_rule_target_gap_reversal_ma10_30_m_age7_120_pool10_hold5_winner_compress_reversal_gap,종목룰 01: 목표가 괴리 되돌림,strategy,212222804.186,38016654.186,174206150.0,0.2816,0.1461,0.3119,228.0,3.0,0.5493,0.7209
stock_rule_target_gap_reversal_ma10_30_m_age7_120_pool5_hold3_equal_reversal_gap,종목룰 02: 목표가 괴리 되돌림,strategy,193404638.1797,68593138.1797,124811500.0,0.2458,0.1264,0.3446,174.0,2.0,0.5161,0.6794
stock_rule_target_upside_momentum_ma10_30_d_age7_120_pool3_hold2_equal_blend,종목룰 03: 목표가 상승여력 추세,strategy,187483087.397,19387.397,187463700.0,0.2338,0.1199,0.4723,1162.0,2.0,0.4675,0.7275
stock_rule_target_gap_reversal_ma10_30_m_age7_120_pool3_hold2_winner_compress_reversal_gap,종목룰 04: 목표가 괴리 되돌림,strategy,185437982.372,2040732.372,183397250.0,0.2296,0.1176,0.4338,132.0,2.0,0.4741,0.6501
stock_rule_target_upside_momentum_ma10_30_d_age7_120_pool3_hold2_equal_dynamic_upside,종목룰 07: 목표가 상승여력 추세,strategy,181839240.691,19590.691,181819650.0,0.2221,0.1136,0.4385,1343.0,2.0,0.4562,0.7308
pit_research_board_trend_top10,리서치보드 정배열 상위 10,strategy,173396837.9303,25632628.7203,147764209.21,0.2038,0.1038,0.2362,612.0,0.0,0.4545,0.6343
stock_rule_target_upside_momentum_ma10_30_d_age7_120_pool5_hold3_winner_compress_dynamic_upside,종목룰 08: 목표가 상승여력 추세,strategy,155561232.4484,60185.8946,155501046.5538,0.1622,0.0817,0.4009,2079.0,3.0,0.3857,0.6472
stock_rule_target_upside_momentum_ma10_30_d_age7_120_pool5_hold3_equal_dynamic_upside,종목룰 09: 목표가 상승여력 추세,strategy,150727042.9775,70947.6647,150656095.3128,0.1501,0.0754,0.4176,2057.0,3.0,0.3735,0.6067
pit_research_board_score_top5,리서치보드 종합점수 상위 5,strategy,147645791.2239,36146883.8037,111498907.4203,0.1421,0.0712,0.2812,285.0,0.0,0.3733,0.5565
stock_rule_target_upside_momentum_ma10_30_w_age7_120_pool10_hold5_equal_dynamic_upside,종목룰 05: 목표가 상승여력 추세,strategy,139523235.4412,56142.4696,139467092.9715,0.1205,0.06,0.3586,1155.0,3.0,0.3337,0.4992
pit_research_board_near_high_top10,리서치보드 52주 고점근접 상위 10,strategy,137920553.7644,16097659.1417,121822894.6227,0.116,0.0577,0.1886,630.0,0.0,0.3391,0.4619
pit_research_board_score_top10,리서치보드 종합점수 상위 10,strategy,131491651.2975,14303226.4647,117188424.8328,0.0977,0.0484,0.2872,585.0,0.0,0.3023,0.4445
pit_research_board_large_upside_top10,리서치보드 목표가 업사이드 상위 10,strategy,115077499.5876,1030.7812,115076468.8064,0.0465,0.0227,0.2032,444.0,0.0,0.2116,0.2975
stock_rule_ma_crossover_ma5_20_m_age0_3650_fail500t_pool5_hold3_equal_ma_cross,종목룰 10: 이동평균 정배열,strategy,108432197.4092,2104297.4092,106327900.0,0.0236,0.0114,0.4582,286.0,3.0,0.2391,0.3617
