trial_number,sampler,scope,target_hit_multiplier,min_target_upside_at_pub,max_target_upside_at_pub,max_report_age_days,time_loss_days,stop_loss_pct,take_profit_pct,rebalance,max_positions,weighting,universe,exclude_missing_confidence_rows,require_publication_price,score,final_equity_krw,net_profit_krw,money_weighted_return,cagr,max_drawdown,trade_count,turnover,average_holding_days,win_rate,hit_rate,max_single_position_weight,open_positions,excess_return_vs_smic_follower,excess_return_vs_smic_follower_v2,excess_return_vs_all_weather
10,random-search,in-sample,1.08,0.29,2.24,1048,601,0.21,2.88,monthly,19,inverse_volatility,overseas,True,False,0.28966103279783123,14425185.327978311,4425185.327978311,0.4425185327978312,0.4425185327978312,0.20381,38,1.0,287.875,0.47368421052631576,0.42105263157894735,0.17620180082806317,19,0.2538185327978312,0.3014185327978312,0.12991853279783122
7,random-search,in-sample,1.19,0.58,4.51,204,294,0.07,1.66,quarterly,39,equal,all,True,False,0.19878658974358968,12512865.897435896,2512865.897435896,0.2512865897435897,0.2512865897435897,0.07000000000000002,78,0.3333333333333333,119.2,0.41025641025641024,0.1282051282051282,0.02564102564102564,39,0.06258658974358969,0.11018658974358969,-0.061313410256410295
8,random-search,in-sample,0.95,0.46,3.01,1406,529,0.14,1.4,monthly,36,inverse_volatility,overseas,True,True,0.1901003784881987,12830135.363829356,2830135.3638293557,0.2830135363829355,0.2830135363829355,0.12388421052631579,66,0.9166666666666666,178.125,0.42424242424242425,0.24242424242424243,0.11225353424205482,33,0.09431353638293552,0.14191353638293552,-0.029586463617064462
16,random-search,in-sample,0.72,0.19,0.54,766,132,0.37,1.26,quarterly,67,target_upside,overseas,False,True,0.1551962811928077,12216087.811928077,2216087.8119280767,0.2216087811928077,0.2216087811928077,0.08855,28,0.06965174129353233,197.36363636363637,0.8571428571428571,0.7857142857142857,0.0924133506914964,14,0.032908781192807685,0.08050878119280769,-0.0909912188071923
13,random-search,in-sample,0.85,0.2,0.49,1251,140,0.1,2.53,monthly,73,target_upside,all,True,False,0.11805747153543734,11849313.845789155,1849313.845789155,0.18493138457891561,0.18493138457891561,0.08916521739130435,146,1.0,205.6888888888889,0.684931506849315,0.6164383561643836,0.0175918742637129,73,-0.0037686154210843925,0.04383138457891561,-0.12766861542108437
6,random-search,in-sample,0.8,0.43,3.68,1183,806,0.2,0.88,quarterly,53,inverse_volatility,overseas,False,True,0.10470809368951131,12340515.147421429,2340515.147421429,0.2340515147421429,0.2340515147421429,0.17245789473684212,70,0.220125786163522,227.55555555555554,0.45714285714285713,0.2571428571428571,0.10753035365328117,35,0.045351514742142884,0.09295151474214289,-0.0785484852578571
19,random-search,in-sample,0.87,0.32,1.25,1037,315,0.09,2.31,monthly,11,equal,all,False,False,0.054511454545454543,11220114.545454545,1220114.545454545,0.12201145454545453,0.12201145454545453,0.08999999999999998,22,1.0,93.5,0.45454545454545453,0.36363636363636365,0.09090909090909091,11,-0.06668854545454547,-0.01908854545454547,-0.19058854545454545
17,random-search,in-sample,1.0,0.2,4.21,923,254,0.11,0.54,quarterly,50,capped_target_upside,domestic,True,False,0.022710122780893877,11010976.22780894,1010976.2278089393,0.10109762278089386,0.10109762278089386,0.10451666666666665,100,0.3333333333333333,255.0625,0.4,0.32,0.035077749832503745,50,-0.08760237721910615,-0.04000237721910614,-0.21150237721910614
4,random-search,in-sample,1.09,0.58,3.79,830,651,0.17,0.4,monthly,34,inverse_volatility,all,False,False,0.011256821547726392,11387568.215477264,1387568.2154772636,0.1387568215477264,0.1387568215477264,0.16999999999999998,68,1.0,364.7142857142857,0.35294117647058826,0.20588235294117646,0.12543893609114046,34,-0.04994317845227361,-0.0023431784522736088,-0.1738431784522736
14,random-search,in-sample,1.08,0.21,2.91,956,276,0.39,1.07,quarterly,56,inverse_volatility,domestic,True,False,-0.0006209801971396034,12464618.323028605,2464618.3230286054,0.24646183230286037,0.24646183230286037,0.32944375,112,0.3333333333333333,276.25,0.42857142857142855,0.35714285714285715,0.09168000398105511,56,0.05776183230286036,0.10536183230286036,-0.06613816769713962
9,random-search,in-sample,0.78,0.28,1.4,1133,565,0.1,0.29,monthly,24,target_upside,overseas,True,False,-0.009020606409738438,10659793.935902614,659793.9359026141,0.06597939359026157,0.06597939359026157,0.1,48,1.0,240.27272727272728,0.5416666666666666,0.4583333333333333,0.08240906069571337,24,-0.12272060640973843,-0.07512060640973843,-0.24662060640973843
11,random-search,in-sample,0.8,0.23,2.45,1019,63,0.21,2.61,monthly,69,equal,overseas,True,False,-0.022919192166462668,11099018.604651162,1099018.6046511624,0.10990186046511628,0.10990186046511628,0.17709473684210525,86,0.6231884057971014,197.05882352941177,0.5581395348837209,0.3953488372093023,0.023255813953488372,43,-0.07879813953488372,-0.03119813953488372,-0.2026981395348837
