source_file,school,report_type,ocr_recovered,report_date,authored_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue,qa_flags,data_issue
data/markdown/2020-10-31_equity-research-지트리비앤티.md,smic,company,False,2020-10-31,2020-10-31,2020-10-31,KR,HLB테라퓨틱스,115450,KRX,Strong Buy,,,27450.0,"27,450 원",200.7,missing_target_price,,
data/markdown/2020-12-05_equity-research-gaztransporttechnigaz-2.md,smic,sector,False,2020-12-05,2020-11-14,2020-12-05,FOREIGN,Gaztransport & Technigaz SA,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/2020-12-05_equity-research-sea-ltd.md,smic,sector,False,2020-12-05,2020-11-21,2020-12-05,,,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/2021-05-31_equity-research-ping-an-healthcare-technology.md,smic,sector,False,2021-05-31,,2021-05-31,,,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/2021-11-03_equity-research-키이스트.md,smic,sector,False,2021-11-03,2021-10-16,2021-11-03,,,,,Buy,20800.0,"20,800 원",15000.0,"15,000 원",39.0,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/2021-11-19_equity-research-예스티.md,smic,sector,False,2021-11-19,2021-11-06,2021-11-19,,,,,Buy,25300.0,"25,300 원",13600.0,"13,600 원",86.0,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/2021-11-30_equity-research-muyuan-foods-co-ltd.md,smic,sector,False,2021-11-30,2021-11-20,2021-11-30,,,,,Strong Buy,84.0,84,56.0,56,45.0,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/2021-11-30_equity-research-opendoor.md,smic,company,False,2021-11-30,2021-11-20,2021-11-30,US,"Opendoor Technologies, Inc.",OPEN,NASDAQ,Buy,,,,,,missing_target_price,,
data/markdown/2021-11-30_equity-research-z-holdings.md,smic,sector,False,2021-11-30,2021-11-20,2021-11-30,,,,,Buy,1210.0,"1,210",825.5,825.5,46.0,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/2022-05-25_equity-research-gem-co-ltd.md,smic,sector,False,2022-05-25,2022-05-21,2022-05-25,FOREIGN,GEM,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/2022-05-25_equity-research-tsmc.md,smic,sector,False,2022-05-25,2022-05-21,2022-05-25,,,,,Buy,764.0,764,530.0,530,44.0,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/2022-11-25_equity-research-tenaris-s-a.md,smic,sector,False,2022-11-25,2022-11-19,2022-11-25,,,,,Buy,24.44,$24.44,17.22,$17.22,42.0,non_us_kr_or_unparsed_market;missing_ticker,,
