source_file,school,report_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue
data\markdown\2020-06-22_equity-research-교촌에프앤비.md,smic,2020-06-06,2020-06-22,KR,교촌에프앤비,075580,KRX,Buy,31900.0,"27,500 ~ 36,300원",,,,
data\markdown\2020-06-22_equity-research-네패스-2.md,smic,2020-06-06,2020-06-22,KR,네패스,033640,KRX,Strong Buy,58383.0,"58,383 원",32000.0,"32,000 원",82.4,
data\markdown\2020-06-22_equity-research-자이에스앤디.md,smic,2020-06-06,2020-06-22,KR,자이에스앤디,317400,KRX,Buy,7056.0,"7,056 원",5840.0,"5,840 원",20.8,
data\markdown\2020-06-22_equity-research-제이브이엠-2.md,smic,2020-06-06,2020-06-22,KR,제이브이엠,054950,KRX,Hold,26876.0,"26,876 원",35050.0,"35,050 원",-24.0,
data\markdown\2020-06-22_equity-research-테스나.md,smic,2020-06-06,2020-06-22,KR,테스나,131970,KRX,Buy,83099.0,"83,099 원",67100.0,"67,100 원",24.0,
data\markdown\2020-10-10_equity-research-디이엔티.md,smic,2020-10-10,2020-10-10,KR,디이엔티,079810,KRX,Buy,13600.0,"13,600 원",9470.0,"9,470 원",43.5,
data\markdown\2020-10-10_equity-research-엑시콘.md,smic,2020-10-10,2020-10-10,KR,엑시콘,092870,KRX,Strong Buy,28700.0,"28,700원",13800.0,"13,800원",108.0,
data\markdown\2020-10-10_equity-research-이엔드디.md,smic,2020-10-10,2020-10-10,KR,이엔드디,101360,KRX,Buy,39950.0,"39,950 원",25000.0,"25,000 원",59.8,
data\markdown\2020-10-10_equity-research-코스맥스.md,smic,2020-10-10,2020-10-10,KR,코스맥스,192820,KRX,Buy,206700.0,"206,700 원",116000.0,"116,000 원",78.2,
data\markdown\2020-10-10_equity-research-핌스.md,smic,2020-10-10,2020-10-10,KR,핌스,347770,KRX,Buy,28900.0,"28,900 원",16850.0,"16,850 원",70.0,
data\markdown\2020-10-31_equity-research-에스제이그룹.md,smic,2020-10-31,2020-10-31,KR,에스제이그룹,306040,KRX,Buy,23500.0,"23,500 원",14750.0,"14,750 원",59.3,
