trial_number,train_rank,accepted,admission_status,excess_return_vs_best_benchmark,label,persona_name,min_target_upside_at_pub,max_target_upside_at_pub,target_hit_multiplier,require_mtt,min_price_vs_52w_low,max_pct_below_52w_high,min_ma200_1m_return,max_positions,universe,top_up_cadence,stop_loss_pct,take_profit_pct,report_age_stop_days,source_trial_number,selection_rank,train_money_weighted_return,train_score,train_max_drawdown,train_trade_count,train_open_positions,full_money_weighted_return,full_net_profit_krw,full_final_equity_krw,full_max_drawdown,full_trade_count,full_open_positions
151,1,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.25,1.1,True,0.0,0.2,0.05,15,all,monthly,0.15,3.0,365,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
303,2,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.5,1.1,True,0.0,0.2,0.05,15,all,monthly,0.15,2.75,365,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
304,3,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.2,0.05,15,all,monthly,0.15,2.75,365,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
305,4,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.2,0.05,15,all,monthly,0.15,3.0,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
307,5,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.2,0.05,15,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
308,6,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
317,9,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.1,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
335,16,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.25,1.1,True,0.1,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
337,17,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.25,1.1,True,0.1,0.2,0.05,20,all,monthly,0.15,2.5,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
346,22,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.0,1.1,True,0.2,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
347,23,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.25,1.1,True,0.2,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
365,32,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,3.5,1.1,True,0.2,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
367,33,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.0,1.1,True,0.1,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
376,35,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.1,0.2,0.05,20,all,monthly,0.15,2.5,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
385,39,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.0,1.1,True,0.1,0.2,0.05,20,all,quarterly,0.15,2.5,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
396,43,False,below_benchmark,-0.0309,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.25,1.1,True,0.2,0.2,0.05,20,all,monthly,0.15,2.5,730,,,0.5308,0.4516,0.2261,60,2,0.3931,178546274.4189,280546274.4189,0.4825,122,4
168,45,True,accepted,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.25,0.05,15,all,monthly,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
176,51,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.3,0.05,15,all,monthly,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
185,58,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.3,0.05,15,all,deposit_only,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
197,66,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,5.0,1.1,True,0.0,0.3,0.05,15,all,deposit_only,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
215,77,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.3,0.05,15,all,deposit_only,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
224,83,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.25,0.05,15,all,deposit_only,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
229,86,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.5,1.1,True,0.0,0.25,0.05,15,all,deposit_only,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
236,91,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.25,0.05,15,all,quarterly,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
245,96,False,duplicate_behavior,0.0574,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.5,1.1,True,0.0,0.3,0.05,15,all,deposit_only,0.15,3.0,365,,,0.5308,0.4516,0.2261,59,2,0.4814,248213239.5184,350213239.5184,0.469,120,3
