date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-01-04,all_weather,buy,4,0,4,069500.KS|GLD|QQQ|SPY,rebalance_buy,398626.3441,9595136.0978,9993762.4419,10000000.0,-6237.5581,4
2021-01-04,benchmark_gld,buy,1,0,1,GLD,rebalance_buy,104630.4804,9888940.9663,9993571.4467,10000000.0,-6428.5533,1
2021-01-04,benchmark_kodex200,buy,1,0,1,069500.KS,rebalance_buy,20676.906,9972840.0,9993516.906,10000000.0,-6483.094,1
2021-01-04,benchmark_qqq,buy,1,0,1,QQQ,rebalance_buy,263657.7585,9730017.0007,9993674.7592,10000000.0,-6325.2408,1
2021-01-04,benchmark_spy,buy,1,0,1,SPY,rebalance_buy,392856.8033,9600901.8904,9993758.6937,10000000.0,-6241.3063,1
2021-01-04,smic_follower,buy,3,0,3,GTT.PA|ROKU|SE,rebalance_buy,391963.1038,9601795.0094,9993758.1131,10000000.0,-6241.8869,3
2021-01-04,smic_follower_v2,buy,3,0,3,GTT.PA|ROKU|SE,rebalance_buy,391963.1038,9601795.0094,9993758.1131,10000000.0,-6241.8869,3
2021-01-05,all_weather,hold,0,0,0,,,398653.6286,9687752.9179,10086406.5465,10000000.0,86406.5465,4
2021-01-05,benchmark_gld,hold,0,0,0,,,104637.642,9935509.6601,10040147.3021,10000000.0,40147.3021,1
2021-01-05,benchmark_kodex200,hold,0,0,0,,,20678.3213,10122900.0,10143578.3213,10000000.0,143578.3213,1
2021-01-05,benchmark_qqq,hold,0,0,0,,,263675.8049,9827325.577,10091001.3819,10000000.0,91001.3819,1
2021-01-05,benchmark_spy,hold,0,0,0,,,392883.6929,9683870.1167,10076753.8096,10000000.0,76753.8096,1
2021-01-05,smic_follower,rebalance,2,1,3,GTT.PA|ROKU|SE,rebalance_buy|target_hit,183984.562,10136850.0149,10320834.5769,10000000.0,320834.5769,2
