rank,as_of_date,price_date,report_id,symbol,company,publication_date,report_age_days,entry_price_krw,entry_price_source,entry_price_scale_factor,price_quality_flag,target_price_krw,last_close_krw,target_upside_at_pub,current_return,target_gap_pct,ytd_return,return_1m,return_3m,return_6m,return_1y,distance_from_52w_high,above_20ma,above_50ma,above_200ma,ma_stack,ema_stack,macd_line,macd_signal,macd_hist,macd_bullish,target_hit,expired,bucket,rank_basis,candidate_score,board_score,ta_momentum_score,cadence,universe,max_report_age_days
1,2021-01-04,2021-01-04,45e67ca4c216f03e,347770.KS,핌스,2020-10-10,86,5500.0,report_quote,1.0,ok,28900.0,5366.6665,4.2545,-0.0242,-0.8143,0.0,0.0421,-0.033,-0.1202,-0.1202,-0.1297,True,True,,,,-50.8571,-69.7091,18.8519,True,False,False,fresh,recent report (86 days),5.9564,6.0364,0.6371,M,all,730
2,2021-01-04,2021-01-04,2462e48e46848d78,131970.KQ,테스나,2020-06-22,196,32600.0,report_quote,1.0,ok,83099.0,56800.0,1.549,0.7423,-0.3165,0.0,0.2836,0.2484,0.8562,1.0322,0.0,True,True,True,True,True,2885.052,2084.0077,801.0444,True,False,False,large-upside,target upside >= 50%,2.911,3.5763,2.0113,M,all,730
3,2021-01-04,2021-01-04,75cc18bb75ed5fbf,101360.KS,이엔드디,2020-10-10,86,26050.0,report_quote,1.0,ok,39950.0,37800.0,0.5336,0.4511,-0.0538,0.0,0.3796,0.6085,1.0,7.9786,0.0,True,True,True,True,True,2487.0202,2101.98,385.0402,True,False,False,fresh,recent report (86 days),1.1981,2.9557,2.3153,M,all,730
4,2021-01-04,2021-01-04,64f22d7f95439e93,092870.KS,엑시콘,2020-10-10,86,13267.3271,report_quote,1.0,ok,28700.0,17000.0,1.1632,0.2813,-0.4077,0.0,0.1333,0.4074,0.8502,1.1224,0.0,True,True,True,True,True,529.0458,504.0358,25.01,True,False,False,fresh,recent report (86 days),1.9098,2.604,1.8346,M,all,730
5,2021-01-04,2021-01-04,583d77b06aa3576e,033640.KS,네패스,2020-06-22,196,28300.0,report_quote,1.0,ok,58383.0,43250.0,1.063,0.5283,-0.2592,0.0,0.3862,0.3601,0.4863,0.6138,0.0,True,True,True,True,True,2024.4389,1126.178,898.2608,True,False,False,large-upside,target upside >= 50%,2.0165,2.5932,1.7339,M,all,730
6,2021-01-04,2021-01-04,eea327a7ce49527a,036890.KS,진성티이씨,2020-10-31,65,10500.0,report_quote,1.0,ok,20350.0,12350.0,0.9381,0.1762,-0.3931,0.0,0.2049,0.0647,0.6644,0.7899,-0.0276,True,True,True,True,True,457.4538,310.2387,147.2151,True,False,False,fresh,recent report (65 days),1.4895,2.0809,1.4737,M,all,730
7,2021-01-04,2021-01-04,b324b25dd326fef5,317400.KS,자이에스앤디,2020-06-22,196,6089.1021,report_quote,1.0,ok,7056.0,11545.0859,0.1588,0.896,0.6362,0.0,0.24,0.5271,1.0496,1.0701,-0.0313,True,True,True,True,True,715.3593,735.0659,-19.7066,False,True,False,active,active report,0.9593,1.5975,1.6527,M,all,730
8,2021-01-04,2020-12-18,7e687ca6a743eff4,353810.KQ,이지바이오,2020-10-31,65,5379.9463,scaled_report_quote,0.0699,explicit_scale,7231.4862,6200.0,0.3442,0.1524,-0.1426,0.0,-0.0373,0.5372,0.7319,5.1185,-0.3049,False,True,,,,-58.8368,52.8965,-111.7333,False,True,False,fresh,recent report (65 days),0.6342,1.5289,1.2165,M,all,730
9,2021-01-04,2021-01-04,aca3b0e80e5d334c,SE,SEA ltd.,2020-12-05,30,215206.2084,report_quote,1.0,ok,317355.8404,212672.1573,0.4747,-0.0118,-0.3299,0.0,-0.0118,0.1255,0.4291,3.5064,-0.0467,False,True,True,False,True,2867.8703,3730.2636,-862.3933,False,False,False,fresh,recent report (30 days),0.6645,1.4459,1.1771,M,all,730
10,2021-01-04,2021-01-04,d8e0a40e71046e92,079810.KS,디이엔티,2020-10-10,86,8379.5059,report_quote,1.0,ok,13600.0,8379.5059,0.623,0.0,-0.3839,0.0,0.0333,-0.0221,0.407,1.7153,-0.1268,True,True,True,False,False,-63.3035,-81.6884,18.3849,True,False,False,fresh,recent report (86 days),0.8722,1.3002,0.9684,M,all,730
11,2021-01-04,2021-01-04,5d0752b834ca2cb9,BILI,Bili bili,2020-12-05,30,78628.2444,report_quote,1.0,ok,79611.7901,102767.316,0.0125,0.307,0.2909,0.0,0.307,0.8454,0.8416,2.7978,-0.0031,True,True,True,True,True,8007.5641,7813.6538,193.9103,True,True,False,fresh,recent report (30 days),0.2518,1.2402,2.1277,M,all,730
