account_id,label,initial_capital_krw,total_contributed_krw,final_equity_krw,final_cash_krw,final_holdings_value_krw,net_profit_krw,money_weighted_return,time_weighted_return,cagr,max_drawdown,realized_pnl_krw,sharpe,sortino,trade_count,open_positions
all_weather,올웨더 (25/25/25/25),10000000.0,104000000.0,251415477.1287,10755434.3658,240660042.7629,147415477.1287,0.3408,2.3294,0.1774,0.0946,25074009.6745,1.1863,1.7352,188,4
benchmark_qqq,QQQ (NASDAQ-100),10000000.0,104000000.0,223150483.2831,484324.3153,222666158.9678,119150483.2831,0.2945,2.3256,0.1517,0.1856,0.0,0.6848,0.9745,66,1
benchmark_spy,SPY (S&P 500),10000000.0,104000000.0,189472298.2543,150305.1102,189321993.144,85472298.2543,0.2314,1.8515,0.1174,0.1487,0.0,0.6506,0.9161,66,1
benchmark_kodex200,KODEX 200 (069500.KS),10000000.0,104000000.0,372982177.0119,123562.0119,372858615.0,268982177.0119,0.4961,2.4838,0.2666,0.199,0.0,1.0907,1.4253,66,1
benchmark_gld,GLD (Gold ETF),10000000.0,104000000.0,231353662.4798,397258.5359,230956403.9438,127353662.4798,0.3085,2.1362,0.1594,0.1483,0.0,0.8199,1.1506,66,1
smic_follower,단순 리포트 추종,10000000.0,104000000.0,151185476.2189,378.4642,151185097.7547,47185476.2189,0.1446,0.4668,0.0717,0.155,58781409.4645,0.4425,0.5651,2161,35
smic_follower_v2,손절 리포트 추종,10000000.0,104000000.0,174878046.6338,49803.0609,174828243.5728,70878046.6338,0.2006,0.8785,0.1009,0.1878,60594724.3663,0.5907,0.8085,1709,12
pit_score_top3,PIT 점수 Top 3,10000000.0,104000000.0,217932053.3068,1419853.3068,216512200.0,113932053.3068,0.2854,0.9059,0.1467,0.534,81473299.5796,0.5243,0.8105,220,3
pit_score_top5,PIT 점수 Top 5,10000000.0,104000000.0,268848457.7057,1985840.982,266862616.7238,164848457.7057,0.3669,1.4165,0.1921,0.3957,66708599.6891,0.6549,0.9986,368,5
pit_score_top10,PIT 점수 Top 10,10000000.0,104000000.0,225957474.2164,192843.0899,225764631.1265,121957474.2164,0.2994,1.0934,0.1544,0.2847,47787130.8883,0.6109,0.9134,714,10
pit_momentum_top5,PIT 모멘텀 Top 5,10000000.0,104000000.0,326664535.9573,727991.2386,325936544.7187,222664535.9573,0.4434,3.0794,0.2359,0.3227,209782686.7911,0.7563,1.0951,494,5
pit_trend_top5,PIT 추세 Top 5,10000000.0,104000000.0,403611687.2868,1268527.2868,402343160.0,299611687.2868,0.5277,2.8724,0.2852,0.2763,264969301.8152,0.8613,1.2385,491,5
pit_fresh_top5,PIT 최근 리포트 Top 5,10000000.0,104000000.0,261560961.6578,1336536.5159,260224425.1418,157560961.6578,0.3562,1.2778,0.1861,0.2464,137921738.4146,0.6572,0.9509,448,5
pit_trend_top7,PIT 추세 Top 7,10000000.0,104000000.0,314200425.2561,1456845.4025,312743579.8537,210200425.2561,0.4281,1.578,0.227,0.2767,181311629.6572,0.7793,1.1149,648,7
pit_trend_stop_top5,PIT 추세 손절 Top 5,10000000.0,104000000.0,225626384.5191,1264254.5191,224362130.0,121626384.5191,0.2988,0.6923,0.1541,0.2284,105305279.79,0.612,0.8439,519,5
pit_trend_stop_top7,PIT 추세 손절 Top 7,10000000.0,104000000.0,181737140.371,2171241.8068,179565898.5642,77737140.371,0.2154,0.1879,0.1088,0.2038,67705539.1919,0.5104,0.6915,684,7
pit_trend_rotate_top5,PIT 추세 회전 Top 5,10000000.0,104000000.0,186902767.0622,42257.0622,186860510.0,82902767.0622,0.2261,0.5164,0.1146,0.3877,63848996.6138,0.4765,0.6801,1128,5
pit_trend_rotate_fast_top5,PIT 추세 월2회 회전 Top 5,10000000.0,104000000.0,150426164.9667,1994144.9667,148432020.0,46426164.9667,0.1426,0.1332,0.0707,0.3715,40235990.9026,0.3643,0.5252,1427,5
pit_trend_rotate_stop_top5,PIT 추세 손절회전 Top 5,10000000.0,104000000.0,153211461.6506,2124271.6506,151087190.0,49211461.6506,0.1497,0.0981,0.0743,0.3554,42419894.4378,0.374,0.526,1246,5
pit_trend_persist20_top5,PIT Trend Persist Top 20 Band,10000000.0,104000000.0,487504217.4838,287637.4838,487216580.0,383504217.4838,0.6043,3.3156,0.3309,0.2724,352281281.263,0.9936,1.4667,462,5
pit_trend_persist30_top5,PIT Trend Persist Top 30 Band,10000000.0,104000000.0,487504217.4838,287637.4838,487216580.0,383504217.4838,0.6043,3.3156,0.3309,0.2724,352281281.263,0.9936,1.4667,462,5
pit_trend_persist20_hold90_top5,PIT Trend Persist Top 20 Hold 90,10000000.0,104000000.0,487504217.4838,287637.4838,487216580.0,383504217.4838,0.6043,3.3156,0.3309,0.2724,352281281.263,0.9936,1.4667,462,5
