date,symbol,dps_local,source_currency,dps_krw
2018-08-14,LLY,0.563,USD,639.5510935058593
2018-08-30,EAF,0.85,USD,942.1824584960938
2018-08-30,GLW,0.18,USD,199.5209912109375
2018-09-05,GLNG,0.125,USD,140.16250610351562
2018-09-06,BAC,0.15,USD,167.71499633789062
2018-09-19,STNG,0.1,USD,112.0800048828125
2018-09-24,WFG,0.155,USD,172.6854962158203
2018-09-26,4680.T,3.333333,JPY,32.91933048390484
2018-09-26,6857.T,12.5,JPY,123.44750165939331
2018-09-26,GTT.PA,1.33,EUR,1745.4920324707032
2018-09-27,000150.KS,1434.8691,KRW,1434.8691
2018-09-27,005490.KQ,2000.0,KRW,2000.0
2018-11-02,SXT,0.36,USD,406.458017578125
2018-11-14,LLY,0.563,USD,636.8261927490233
2018-11-15,GLW,0.18,USD,203.6159912109375
2018-11-19,TS,0.26,USD,291.30400634765624
2018-11-29,EAF,0.85,USD,952.9519958496094
2018-12-04,STNG,0.1,USD,110.8300048828125
2018-12-06,BAC,0.15,USD,166.7490051269531
2018-12-06,EAF,7.0,USD,7781.6202392578125
2018-12-13,GLNG,0.15,USD,168.5774963378906
2018-12-24,WFG,0.147,USD,165.74249999999998
2018-12-26,2124.T,16.25,JPY,165.14875173568726
2018-12-27,000150.KS,1434.8691,KRW,1434.8691
2018-12-27,000210.KQ,3831.2966,KRW,3831.2966
2018-12-27,000640.KS,942.5959,KRW,942.5959
2018-12-27,000660.KS,1500.0,KRW,1500.0
2018-12-27,001040.KS,1260.8695,KRW,1260.8695
2018-12-27,001060.KS,283.09637,KRW,283.09637
2018-12-27,001120.KS,250.0,KRW,250.0
2018-12-27,001530.KS,120.25228,KRW,120.25228
2018-12-27,003030.KQ,1800.0,KRW,1800.0
2018-12-27,004020.KS,750.0,KRW,750.0
2018-12-27,004250.KS,95.0,KRW,95.0
2018-12-27,005290.KS,90.0,KRW,90.0
2018-12-27,005380.KS,3000.0,KRW,3000.0
2018-12-27,005490.KQ,5000.0,KRW,5000.0
2018-12-27,005720.KS,75.0,KRW,75.0
2018-12-27,005850.KS,400.0,KRW,400.0
