date,currency,fx_symbol,krw_per_unit
2018-08-03,CHF,CHFKRW=X,1132.9000244140625
2018-08-06,CHF,CHFKRW=X,1128.800048828125
2018-08-07,CHF,CHFKRW=X,1129.0999755859375
2018-08-08,CHF,CHFKRW=X,1121.300048828125
2018-08-09,CHF,CHFKRW=X,1123.300048828125
2018-08-10,CHF,CHFKRW=X,1128.0
2018-08-13,CHF,CHFKRW=X,1136.5999755859375
2018-08-14,CHF,CHFKRW=X,1143.300048828125
2018-08-15,CHF,CHFKRW=X,1133.0999755859375
2018-08-16,CHF,CHFKRW=X,1143.5
2018-08-17,CHF,CHFKRW=X,1129.0
2018-08-20,CHF,CHFKRW=X,1123.4000244140625
2018-08-21,CHF,CHFKRW=X,1127.0
2018-08-22,CHF,CHFKRW=X,1133.4000244140625
2018-08-23,CHF,CHFKRW=X,1136.199951171875
2018-08-24,CHF,CHFKRW=X,1141.5
2018-08-27,CHF,CHFKRW=X,1130.699951171875
2018-08-28,CHF,CHFKRW=X,1131.0999755859375
2018-08-29,CHF,CHFKRW=X,1133.0
2018-08-30,CHF,CHFKRW=X,1141.5999755859375
2018-08-31,CHF,CHFKRW=X,1151.0
2018-09-03,CHF,CHFKRW=X,1149.5
2018-09-04,CHF,CHFKRW=X,1148.5
2018-09-05,CHF,CHFKRW=X,1150.9000244140625
2018-09-06,CHF,CHFKRW=X,1150.9000244140625
2018-09-07,CHF,CHFKRW=X,1164.699951171875
2018-09-10,CHF,CHFKRW=X,1163.0
2018-09-11,CHF,CHFKRW=X,1165.800048828125
2018-09-12,CHF,CHFKRW=X,1156.0
2018-09-13,CHF,CHFKRW=X,1160.0
2018-09-14,CHF,CHFKRW=X,1159.4000244140625
2018-09-17,CHF,CHFKRW=X,1158.699951171875
2018-09-18,CHF,CHFKRW=X,1168.800048828125
2018-09-19,CHF,CHFKRW=X,1162.699951171875
2018-09-20,CHF,CHFKRW=X,1159.699951171875
2018-09-21,CHF,CHFKRW=X,1163.9000244140625
2018-09-24,CHF,CHFKRW=X,1162.0
2018-09-25,CHF,CHFKRW=X,1158.5999755859375
2018-09-26,CHF,CHFKRW=X,1155.699951171875
2018-09-27,CHF,CHFKRW=X,1154.0999755859375
2018-09-28,CHF,CHFKRW=X,1138.199951171875
2018-10-01,CHF,CHFKRW=X,1129.699951171875
2018-10-02,CHF,CHFKRW=X,1130.5999755859375
2018-10-03,CHF,CHFKRW=X,1135.4000244140625
2018-10-04,CHF,CHFKRW=X,1134.5
2018-10-05,CHF,CHFKRW=X,1142.0
2018-10-08,CHF,CHFKRW=X,1110.800048828125
2018-10-09,CHF,CHFKRW=X,1141.5
2018-10-10,CHF,CHFKRW=X,1141.4000244140625
2018-10-11,CHF,CHFKRW=X,1156.199951171875
2018-10-12,CHF,CHFKRW=X,1145.5
2018-10-15,CHF,CHFKRW=X,1141.300048828125
2018-10-16,CHF,CHFKRW=X,1149.800048828125
2018-10-17,CHF,CHFKRW=X,1132.5999755859375
2018-10-18,CHF,CHFKRW=X,1132.199951171875
2018-10-19,CHF,CHFKRW=X,1140.9000244140625
2018-10-22,CHF,CHFKRW=X,1135.5
2018-10-23,CHF,CHFKRW=X,1135.0999755859375
2018-10-24,CHF,CHFKRW=X,1142.300048828125
2018-10-25,CHF,CHFKRW=X,1140.5999755859375
2018-10-26,CHF,CHFKRW=X,1135.300048828125
2018-10-29,CHF,CHFKRW=X,1142.0999755859375
2018-10-30,CHF,CHFKRW=X,1139.699951171875
2018-10-31,CHF,CHFKRW=X,1131.4000244140625
2018-11-01,CHF,CHFKRW=X,1131.5999755859375
2018-11-02,CHF,CHFKRW=X,1126.300048828125
2018-11-05,CHF,CHFKRW=X,1113.0
2018-11-06,CHF,CHFKRW=X,1116.300048828125
2018-11-07,CHF,CHFKRW=X,1117.699951171875
2018-11-08,CHF,CHFKRW=X,1112.9000244140625
2018-11-09,CHF,CHFKRW=X,1113.0
2018-11-12,CHF,CHFKRW=X,1123.9000244140625
2018-11-13,CHF,CHFKRW=X,1125.4000244140625
2018-11-14,CHF,CHFKRW=X,1124.199951171875
2018-11-15,CHF,CHFKRW=X,1124.4000244140625
2018-11-16,CHF,CHFKRW=X,1119.199951171875
2018-11-19,CHF,CHFKRW=X,1120.9000244140625
2018-11-20,CHF,CHFKRW=X,1133.699951171875
2018-11-21,CHF,CHFKRW=X,1134.9000244140625
2018-11-22,CHF,CHFKRW=X,1143.4000244140625
2018-11-23,CHF,CHFKRW=X,1141.800048828125
2018-11-26,CHF,CHFKRW=X,1136.5999755859375
2018-11-27,CHF,CHFKRW=X,1130.800048828125
2018-11-28,CHF,CHFKRW=X,1132.0999755859375
2018-11-29,CHF,CHFKRW=X,1128.5999755859375
2018-11-30,CHF,CHFKRW=X,1121.0
2018-12-03,CHF,CHFKRW=X,1118.4000244140625
2018-12-04,CHF,CHFKRW=X,1110.5999755859375
2018-12-05,CHF,CHFKRW=X,1113.5999755859375
2018-12-06,CHF,CHFKRW=X,1115.0
2018-12-07,CHF,CHFKRW=X,1127.199951171875
2018-12-10,CHF,CHFKRW=X,1134.0
2018-12-11,CHF,CHFKRW=X,1143.300048828125
2018-12-12,CHF,CHFKRW=X,1135.300048828125
2018-12-13,CHF,CHFKRW=X,1132.0999755859375
2018-12-14,CHF,CHFKRW=X,1133.699951171875
2018-12-17,CHF,CHFKRW=X,1134.300048828125
2018-12-18,CHF,CHFKRW=X,1136.4000244140625
2018-12-19,CHF,CHFKRW=X,1133.5
2018-12-20,CHF,CHFKRW=X,1135.0
2018-12-21,CHF,CHFKRW=X,1134.199951171875
2018-12-24,CHF,CHFKRW=X,1134.5
2018-12-25,CHF,CHFKRW=X,1139.199951171875
2018-12-26,CHF,CHFKRW=X,1137.5999755859375
2018-12-27,CHF,CHFKRW=X,1133.5999755859375
2018-12-28,CHF,CHFKRW=X,1133.699951171875
2018-12-31,CHF,CHFKRW=X,1134.5999755859375
2019-01-01,CHF,CHFKRW=X,1130.9000244140625
2019-01-02,CHF,CHFKRW=X,1133.699951171875
2019-01-03,CHF,CHFKRW=X,1134.800048828125
2019-01-04,CHF,CHFKRW=X,1138.300048828125
2019-01-07,CHF,CHFKRW=X,1130.4000244140625
2019-01-08,CHF,CHFKRW=X,1139.9000244140625
2019-01-09,CHF,CHFKRW=X,1142.699951171875
2019-01-10,CHF,CHFKRW=X,1148.0999755859375
2019-01-11,CHF,CHFKRW=X,1134.4000244140625
2019-01-14,CHF,CHFKRW=X,1136.4000244140625
2019-01-15,CHF,CHFKRW=X,1143.199951171875
2019-01-16,CHF,CHFKRW=X,1136.4000244140625
2019-01-17,CHF,CHFKRW=X,1130.0
2019-01-18,CHF,CHFKRW=X,1127.300048828125
2019-01-21,CHF,CHFKRW=X,1130.5
2019-01-22,CHF,CHFKRW=X,1134.9000244140625
2019-01-23,CHF,CHFKRW=X,1132.9000244140625
2019-01-24,CHF,CHFKRW=X,1131.4000244140625
2019-01-25,CHF,CHFKRW=X,1131.699951171875
2019-01-28,CHF,CHFKRW=X,1126.0999755859375
2019-01-29,CHF,CHFKRW=X,1128.800048828125
2019-01-30,CHF,CHFKRW=X,1123.5999755859375
2019-01-31,CHF,CHFKRW=X,1115.699951171875
2019-02-01,CHF,CHFKRW=X,1118.0
2019-02-04,CHF,CHFKRW=X,1123.300048828125
2019-02-05,CHF,CHFKRW=X,1123.0
2019-02-06,CHF,CHFKRW=X,1118.5
2019-02-07,CHF,CHFKRW=X,1118.699951171875
2019-02-08,CHF,CHFKRW=X,1120.699951171875
2019-02-11,CHF,CHFKRW=X,1123.5999755859375
2019-02-12,CHF,CHFKRW=X,1120.4000244140625
2019-02-13,CHF,CHFKRW=X,1113.300048828125
2019-02-14,CHF,CHFKRW=X,1113.5
2019-02-15,CHF,CHFKRW=X,1122.5
2019-02-18,CHF,CHFKRW=X,1120.0
2019-02-19,CHF,CHFKRW=X,1119.0999755859375
2019-02-20,CHF,CHFKRW=X,1119.9000244140625
2019-02-21,CHF,CHFKRW=X,1121.300048828125
2019-02-22,CHF,CHFKRW=X,1123.0999755859375
2019-02-25,CHF,CHFKRW=X,1122.4000244140625
2019-02-26,CHF,CHFKRW=X,1117.0
2019-02-27,CHF,CHFKRW=X,1114.199951171875
2019-02-28,CHF,CHFKRW=X,1115.0999755859375
2019-03-01,CHF,CHFKRW=X,1126.800048828125
2019-03-04,CHF,CHFKRW=X,1127.800048828125
2019-03-05,CHF,CHFKRW=X,1128.9000244140625
2019-03-06,CHF,CHFKRW=X,1120.800048828125
2019-03-07,CHF,CHFKRW=X,1121.699951171875
2019-03-08,CHF,CHFKRW=X,1120.5
2019-03-11,CHF,CHFKRW=X,1125.0999755859375
2019-03-12,CHF,CHFKRW=X,1119.300048828125
2019-03-13,CHF,CHFKRW=X,1118.800048828125
2019-03-14,CHF,CHFKRW=X,1125.800048828125
2019-03-15,CHF,CHFKRW=X,1131.4000244140625
2019-03-18,CHF,CHFKRW=X,1132.5
2019-03-19,CHF,CHFKRW=X,1129.5999755859375
2019-03-20,CHF,CHFKRW=X,1130.699951171875
2019-03-21,CHF,CHFKRW=X,1134.800048828125
2019-03-22,CHF,CHFKRW=X,1136.5
2019-03-25,CHF,CHFKRW=X,1141.9000244140625
2019-03-26,CHF,CHFKRW=X,1142.5
2019-03-27,CHF,CHFKRW=X,1140.9000244140625
2019-03-28,CHF,CHFKRW=X,1144.0999755859375
2019-03-29,CHF,CHFKRW=X,1139.699951171875
2019-04-01,CHF,CHFKRW=X,1141.800048828125
2019-04-02,CHF,CHFKRW=X,1133.0999755859375
2019-04-03,CHF,CHFKRW=X,1138.4000244140625
2019-04-04,CHF,CHFKRW=X,1136.5
2019-04-05,CHF,CHFKRW=X,1134.4000244140625
2019-04-08,CHF,CHFKRW=X,1136.5
2019-04-09,CHF,CHFKRW=X,1142.0
2019-04-10,CHF,CHFKRW=X,1140.5999755859375
2019-04-11,CHF,CHFKRW=X,1134.300048828125
2019-04-12,CHF,CHFKRW=X,1137.800048828125
2019-04-15,CHF,CHFKRW=X,1130.5
2019-04-16,CHF,CHFKRW=X,1129.0
2019-04-17,CHF,CHFKRW=X,1127.0999755859375
2019-04-18,CHF,CHFKRW=X,1118.199951171875
2019-04-19,CHF,CHFKRW=X,1119.300048828125
2019-04-22,CHF,CHFKRW=X,1118.4000244140625
2019-04-23,CHF,CHFKRW=X,1122.5999755859375
2019-04-24,CHF,CHFKRW=X,1119.300048828125
2019-04-25,CHF,CHFKRW=X,1132.0999755859375
2019-04-26,CHF,CHFKRW=X,1136.199951171875
2019-04-29,CHF,CHFKRW=X,1135.699951171875
2019-04-30,CHF,CHFKRW=X,1136.5
2019-05-01,CHF,CHFKRW=X,1141.5
2019-05-02,CHF,CHFKRW=X,1144.5
2019-05-03,CHF,CHFKRW=X,1143.9000244140625
2019-05-06,CHF,CHFKRW=X,1144.4000244140625
2019-05-07,CHF,CHFKRW=X,1148.0
2019-05-08,CHF,CHFKRW=X,1148.699951171875
2019-05-09,CHF,CHFKRW=X,1148.800048828125
2019-05-10,CHF,CHFKRW=X,1161.300048828125
2019-05-13,CHF,CHFKRW=X,1162.199951171875
2019-05-14,CHF,CHFKRW=X,1180.699951171875
2019-05-15,CHF,CHFKRW=X,1176.5999755859375
2019-05-16,CHF,CHFKRW=X,1176.300048828125
2019-05-17,CHF,CHFKRW=X,1178.5999755859375
2019-05-20,CHF,CHFKRW=X,1181.0999755859375
2019-05-21,CHF,CHFKRW=X,1183.300048828125
2019-05-22,CHF,CHFKRW=X,1178.800048828125
2019-05-23,CHF,CHFKRW=X,1179.0
2019-05-24,CHF,CHFKRW=X,1185.0999755859375
2019-05-27,CHF,CHFKRW=X,1182.9000244140625
2019-05-28,CHF,CHFKRW=X,1177.5999755859375
2019-05-29,CHF,CHFKRW=X,1179.199951171875
2019-05-30,CHF,CHFKRW=X,1182.300048828125
2019-05-31,CHF,CHFKRW=X,1180.199951171875
2019-06-03,CHF,CHFKRW=X,1188.300048828125
2019-06-04,CHF,CHFKRW=X,1187.0999755859375
2019-06-05,CHF,CHFKRW=X,1185.199951171875
2019-06-06,CHF,CHFKRW=X,1185.699951171875
2019-06-07,CHF,CHFKRW=X,1187.199951171875
2019-06-10,CHF,CHFKRW=X,1192.5999755859375
2019-06-11,CHF,CHFKRW=X,1195.0
2019-06-12,CHF,CHFKRW=X,1187.0
2019-06-13,CHF,CHFKRW=X,1189.5
2019-06-14,CHF,CHFKRW=X,1188.4000244140625
2019-06-17,CHF,CHFKRW=X,1187.300048828125
2019-06-18,CHF,CHFKRW=X,1186.9000244140625
2019-06-19,CHF,CHFKRW=X,1172.5999755859375
2019-06-20,CHF,CHFKRW=X,1178.800048828125
2019-06-21,CHF,CHFKRW=X,1179.5
2019-06-24,CHF,CHFKRW=X,1187.199951171875
2019-06-25,CHF,CHFKRW=X,1185.699951171875
2019-06-26,CHF,CHFKRW=X,1185.4000244140625
2019-06-27,CHF,CHFKRW=X,1179.0999755859375
2019-06-28,CHF,CHFKRW=X,1183.0999755859375
2019-07-01,CHF,CHFKRW=X,1179.9000244140625
2019-07-02,CHF,CHFKRW=X,1174.699951171875
2019-07-03,CHF,CHFKRW=X,1182.9000244140625
2019-07-04,CHF,CHFKRW=X,1185.5999755859375
2019-07-05,CHF,CHFKRW=X,1185.4000244140625
2019-07-08,CHF,CHFKRW=X,1184.300048828125
2019-07-09,CHF,CHFKRW=X,1186.699951171875
2019-07-10,CHF,CHFKRW=X,1189.300048828125
2019-07-11,CHF,CHFKRW=X,1189.9000244140625
2019-07-12,CHF,CHFKRW=X,1185.0999755859375
2019-07-15,CHF,CHFKRW=X,1195.0999755859375
2019-07-16,CHF,CHFKRW=X,1197.0999755859375
2019-07-17,CHF,CHFKRW=X,1192.300048828125
2019-07-18,CHF,CHFKRW=X,1194.5
2019-07-19,CHF,CHFKRW=X,1191.4000244140625
2019-07-22,CHF,CHFKRW=X,1195.5
2019-07-23,CHF,CHFKRW=X,1195.699951171875
2019-07-24,CHF,CHFKRW=X,1194.4000244140625
