account_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
all_weather,All Weather,benchmark,242209176.5199,10944644.0877,231264532.4322,0.3251,0.169,0.0946,188.0,4.0,1.1309,1.6299
smic_follower,SMIC Report Follower,account,146034696.1674,598.7712,146034097.3963,0.1307,0.0647,0.155,2159.0,36.0,0.4095,0.5242
smic_follower_v2,SMIC Report Follower with Stops,account,172859472.6534,4394.7636,172855077.8899,0.1953,0.0984,0.1878,1709.0,12.0,0.5775,0.7924
pit_score_top3,PIT Score Top 3 Equal Weight,account,163116401.4675,59201.4675,163057200.0,0.1731,0.0867,0.409,224.0,3.0,0.4017,0.6062
pit_score_top5,PIT Score Top 5 Equal Weight,account,188716534.2472,2703781.2224,186012753.0247,0.229,0.1163,0.3344,361.0,5.0,0.4796,0.7464
pit_score_top10,PIT Score Top 10 Equal Weight,account,214882706.6738,209936.2959,214672770.3779,0.2789,0.1434,0.254,705.0,10.0,0.5895,0.881
pit_momentum_top5,PIT Momentum Top 5,account,316030713.2703,195503.9774,315835209.2929,0.4288,0.2278,0.3128,499.0,5.0,0.7357,1.0636
pit_trend_top5,PIT Trend Top 5,account,280089865.2477,746159.1506,279343706.0972,0.3816,0.2007,0.2734,464.0,5.0,0.6832,0.9676
pit_fresh_top5,PIT Fresh Top 5,account,238861771.9848,2823019.5768,236038752.408,0.3197,0.166,0.2456,453.0,5.0,0.606,0.8805
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45% Cap Profit 60%,account,245112451.5466,4009158.8481,241103292.6986,0.3297,0.1715,0.2146,80.0,5.0,0.7746,0.7711
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score,account,217109670.6596,4020077.5455,213089593.1141,0.2829,0.1456,0.2388,81.0,5.0,0.6906,0.7122
benchmark_kodex200,KODEX 200 (069500.KS),benchmark,345649705.8448,123595.8448,345526110.0,0.4641,0.2483,0.199,66.0,1.0,1.0266,1.3314
pit_mtt_low300_top5,PIT MTT 52주저점+300% Top 5,account,287566778.9075,553667.7369,287013111.1706,0.3918,0.2066,0.405,99.0,5.0,0.7231,0.6887
pit_mtt_rs80_top5,PIT MTT RS80 Top 5,account,225776305.5518,290354.8201,225485950.7316,0.298,0.1539,0.2606,238.0,5.0,0.6626,0.662
pit_mtt_rs90_top5,PIT MTT RS90 Top 5,account,224521757.1143,34994.9223,224486762.192,0.2958,0.1527,0.3119,223.0,5.0,0.634,0.6245
pit_mtt_low100_top5,PIT MTT 52주저점+100% Top 5,account,223088186.7681,664006.8187,222424179.9495,0.2934,0.1513,0.2702,208.0,5.0,0.6401,0.6217
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_top5,PIT 추세 Mixed Entry Profit60 Top 5,account,217109670.6596,4020077.5455,213089593.1141,0.2829,0.1456,0.2388,81.0,5.0,0.6906,0.7122
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploycash125_partial75_top5,PIT Trend Quarterly Fresh 540 Run Winners Partial 75,account,216300586.7102,4171228.7238,212129357.9864,0.2814,0.1448,0.2389,83.0,5.0,0.6889,0.7091
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploycash125_top5,PIT Trend Quarterly Fresh 540 Run Winners CashGate 12.5,account,216300586.7102,4171228.7238,212129357.9864,0.2814,0.1448,0.2389,83.0,5.0,0.6889,0.7091
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_top5,PIT Trend Quarterly Fresh 540 Run Winners Mixed Entry TrailTrim 20,account,216300586.7102,4171228.7238,212129357.9864,0.2814,0.1448,0.2389,83.0,5.0,0.6889,0.7091
pit_momentum_6m12m_top5,PIT 모멘텀 6M/12M Top 5,account,214404606.8088,786551.1803,213618055.6286,0.2781,0.1429,0.254,253.0,5.0,0.6339,0.6173
pit_momentum_3m6m_top5,PIT 모멘텀 3M/6M Top 5,account,213415973.8692,977307.5071,212438666.3621,0.2763,0.142,0.2593,241.0,5.0,0.627,0.6072
pit_momentum_1m3m_top5,PIT 모멘텀 1M/3M Top 5,account,196269041.199,245094.0978,196023947.1012,0.2441,0.1244,0.2587,256.0,5.0,0.5596,0.5366
pit_mtt_rs70_top5,PIT MTT RS70 Top 5,account,189769149.3981,737278.4017,189031870.9964,0.2311,0.1175,0.2494,255.0,5.0,0.5368,0.5215
benchmark_qqq,QQQ (NASDAQ-100),benchmark,214514685.3345,495239.4021,214019445.9324,0.2782,0.143,0.1856,66.0,1.0,0.6534,0.9249
benchmark_spy,SPY (S&P 500),benchmark,186727263.569,159169.7407,186568093.8283,0.2249,0.1141,0.1487,66.0,1.0,0.6355,0.8942
benchmark_gld,GLD (Gold ETF),benchmark,225774841.2959,405838.0732,225369003.2226,0.298,0.1539,0.1483,66.0,1.0,0.7945,1.1119
