strategy_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
all_weather,All-Weather (25/25/25/25),benchmark,229692967.0773,8418243.3861,221274723.6912,0.3128,0.1632,0.0946,186.0,4.0,1.1056,1.6166
smic_follower,SMIC Follower (1/N),benchmark,157087649.417,833.3324,157086816.0846,0.1662,0.0838,0.1917,2005.0,38.0,0.4783,0.6144
smic_follower_v2,SMIC Follower (SL),benchmark,149089545.0967,4268.0213,149085277.0754,0.1462,0.0733,0.1862,1583.0,10.0,0.444,0.612
smic_rsi_reversal,RSI Reversal Strategy,strategy,132035072.0318,105664982.0318,26370090.0,0.0995,0.0492,0.0555,358.0,2.0,0.7411,0.8632
benchmark_kodex200,KODEX 200 (069500.KS),benchmark,299952531.0258,104286.0258,299848245.0,0.4173,0.2225,0.199,65.0,1.0,0.956,1.2284
benchmark_qqq,QQQ (NASDAQ-100),benchmark,207683020.6495,734285.9379,206948734.7116,0.2738,0.1416,0.1856,65.0,1.0,0.6492,0.9228
benchmark_spy,SPY (S&P 500),benchmark,180842470.6765,446211.7579,180396258.9187,0.2204,0.1126,0.1487,65.0,1.0,0.6284,0.8839
benchmark_gld,GLD (Gold ETF),benchmark,229798395.7307,265807.9913,229532587.7394,0.313,0.1633,0.1483,65.0,1.0,0.8365,1.1718
weak_oracle,Weak Prophet (3M oracle),oracle,4747242218.4382,4747242218.4382,0.0,1.7109,1.0448,0.2163,2018.0,0.0,3.2917,4.107
stock_rule_target_gap_reversal_ma10_30_m_age7_120_pool10_hold5_winner_compress_reversal_gap,Stock Rule 01: Target Gap Reversal,strategy,217587400.524,38011450.524,179575950.0,0.2918,0.1516,0.3119,228.0,3.0,0.5625,0.7379
stock_rule_target_upside_momentum_ma10_30_d_age7_120_pool3_hold2_equal_blend,Stock Rule 02: Target Upside Momentum,strategy,204690984.7433,19384.7433,204671600.0,0.2682,0.1385,0.4723,1162.0,2.0,0.506,0.7903
stock_rule_target_upside_momentum_ma10_30_d_age7_120_pool3_hold2_equal_dynamic_upside,Stock Rule 10: Target Upside Momentum,strategy,198529788.0094,19588.0094,198510200.0,0.2564,0.1321,0.4385,1343.0,2.0,0.4964,0.7991
stock_rule_target_gap_reversal_ma10_30_m_age7_120_pool5_hold3_equal_reversal_gap,Stock Rule 04: Target Gap Reversal,strategy,196311949.2548,68583749.2548,127728200.0,0.252,0.1297,0.3446,174.0,2.0,0.5249,0.6906
stock_rule_target_gap_reversal_ma10_30_w_age0_60_pool3_hold2_winner_compress_reversal_gap,Stock Rule 09: Target Gap Reversal,strategy,195576337.3057,15497.3057,195560840.0,0.2506,0.1289,0.3364,392.0,2.0,0.5144,0.6243
stock_rule_target_gap_reversal_ma10_30_m_age7_120_pool5_hold3_winner_compress_reversal_gap,Stock Rule 06: Target Gap Reversal,strategy,194881540.5546,48663540.5546,146218000.0,0.2492,0.1282,0.346,174.0,2.0,0.5052,0.6703
stock_rule_target_upside_momentum_ma10_30_d_age7_120_pool3_hold2_winner_compress_blend,Stock Rule 03: Target Upside Momentum,strategy,183170083.282,47243.282,183122840.0,0.2253,0.1152,0.4702,1192.0,2.0,0.4572,0.7125
stock_rule_fresh_report_momentum_ma10_30_d_age7_120_pool3_hold2_equal_momentum_blend,Stock Rule 05: Fresh Report Momentum,strategy,155401844.2871,2604.2871,155399240.0,0.1621,0.0816,0.4615,1067.0,2.0,0.3879,0.5871
stock_rule_target_upside_momentum_ma10_30_w_age7_120_pool10_hold5_equal_dynamic_upside,Stock Rule 07: Target Upside Momentum,strategy,150273953.4631,56134.7849,150217818.6782,0.1492,0.0748,0.3586,1155.0,3.0,0.3735,0.5588
stock_rule_fresh_report_momentum_ma10_30_d_age7_120_pool3_hold2_winner_compress_momentum_blend,Stock Rule 08: Fresh Report Momentum,strategy,145145512.413,26472.413,145119040.0,0.1359,0.0679,0.4609,1085.0,2.0,0.3593,0.5444
