account_id,final_delta_vs_cashgate125_krw,positive_days_vs_cashgate125,min_daily_delta_vs_cashgate125_krw,max_daily_delta_vs_cashgate125_krw,rebalance_buy,rebalance_sell,trailing_profit_trim,retained_cap_trim
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_top5,-17760713.924292207,0.0014265335235378032,-18125273.282594442,455974.23170539737,69,59,5,3
research062_cashgate125_slip25_top5,-25986972.258164525,0.05206847360912981,-26517411.203857183,74465.93018193543,73,61,3,3
research062_cashgate125_slip50_top5,-57141007.35419476,0.0,-58311419.58324027,-47805.58011287451,72,60,3,3
research062_cashgate125_midcontrib_top5,-12862732.313399315,0.24679029957203993,-14640578.731727839,648884.5058147684,72,60,2,3
research062_cashgate125_lastcontrib_top5,-9403017.401530266,0.023537803138373753,-11631259.34130001,643431.1406145431,73,61,3,3
research062_cashgate125_top3,-189650210.5732572,0.04778887303851641,-211154253.12194115,745388.20767349,49,41,1,10
research062_cashgate125_top7,-233614850.75194126,0.0028530670470756064,-233614850.75194126,59457.51643462852,93,78,5,3
all_weather,-496505913.64922297,0.3223965763195435,-511117350.7207458,11234152.862139147,160,26,0,0
benchmark_kodex200,-409186529.61351246,0.1733238231098431,-420966831.2552243,4556141.68439386,65,0,0,0
benchmark_qqq,-520527886.87845373,0.48216833095577744,-537646824.148323,12772874.042333782,65,0,0,0
