account_id,final_delta_vs_cashgate125_krw,positive_days_vs_cashgate125,min_daily_delta_vs_cashgate125_krw,max_daily_delta_vs_cashgate125_krw,rebalance_buy,rebalance_sell,trailing_profit_trim,retained_cap_trim
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_top5,-17760713.924292207,0.0014265335235378032,-18125273.282594442,455974.23170539737,69,59,5,3
research063_cashgate125_partial25_top5,862693.868013382,0.22182596291012838,-6078441.525517076,2214745.9644690454,73,61,3,3
research063_cashgate125_partial50_top5,1371320.0408575535,0.22467902995720399,-3386376.273959279,2292946.170974225,72,60,3,3
research063_cashgate125_partial75_top5,2678117.752933264,0.2275320970042796,-827725.7701379955,2728919.14307189,73,61,3,3
research063_cashgate125_partial75_slip25_top5,-24113370.87396872,0.05206847360912981,-24592661.138197303,74465.93018193543,73,61,3,3
research063_cashgate125_partial75_slip50_top5,-53930342.06561196,0.0,-55041182.14744723,-47805.58011287451,73,61,3,3
research063_cashgate125_partial75_midcontrib_top5,-10990101.010437012,0.24679029957203993,-12813106.10522914,648884.5058147684,73,61,2,3
research063_cashgate125_partial75_lastcontrib_top5,-6361515.562509179,0.024251069900142655,-8545401.139835954,643431.1406145431,72,60,3,3
research063_cashgate125_partial50_slip25_top5,-24246366.727644086,0.05206847360912981,-24730441.119904995,74465.93018193543,73,61,3,3
research063_cashgate125_partial50_slip50_top5,-53901429.801425695,0.0,-55007059.982260585,-47805.58011287451,73,61,3,3
all_weather,-496505913.64922297,0.3223965763195435,-511117350.7207458,11234152.862139147,160,26,0,0
benchmark_kodex200,-409186529.61351246,0.1733238231098431,-420966831.2552243,4556141.68439386,65,0,0,0
benchmark_qqq,-520527886.87845373,0.48216833095577744,-537646824.148323,12772874.042333782,65,0,0,0
