account_id,label,initial_capital_krw,total_contributed_krw,final_equity_krw,final_cash_krw,final_holdings_value_krw,net_profit_krw,money_weighted_return,time_weighted_return,cagr,max_drawdown,realized_pnl_krw,sharpe,sortino,trade_count,open_positions
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20,10000000.0,102000000.0,715077173.1304452,2028871.989126736,713048301.1413186,613077173.1304452,0.7721687316079624,10.010884384711414,0.43643757234068103,0.27467107367679405,241092661.52135012,1.195620400414462,1.8570160117289563,136,5
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploycash125_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20 Redeploy Cash 12.5,10000000.0,102000000.0,732837887.0547374,2031690.701936985,730806196.3528005,630837887.0547374,0.7827200714324136,10.313919013562236,0.4430065193027306,0.27467107367679405,249524791.1765744,1.2061439256822708,1.87126522898804,138,5
research063_cashgate125_partial25_top5,Research 063 CashGate 12.5 Partial 25,10000000.0,102000000.0,733700580.9227508,2015855.7406218338,731684725.182129,631700580.9227508,0.7832268545692205,10.329289234591066,0.4433222798340015,0.27467107367679405,249868875.04142427,1.2097444505384,1.8764094089028063,140,5
research063_cashgate125_partial50_top5,Research 063 CashGate 12.5 Partial 50,10000000.0,102000000.0,734209207.095595,2056681.9134660063,732152525.182129,632209207.095595,0.7835253987213945,10.338068854895031,0.44350830401174224,0.27467107367679405,250291684.58497536,1.2093245543486393,1.8767930282790062,138,5
research063_cashgate125_partial75_top5,Research 063 CashGate 12.5 Partial 75,10000000.0,102000000.0,735516004.8076707,2020363.205695506,733495641.6019752,633516004.8076707,0.784291609408683,10.359000328179997,0.4439857697074474,0.27467107367679405,250541109.64576137,1.2091150504321464,1.87596867803018,140,5
research063_cashgate125_partial75_slip25_top5,Research 063 CashGate 12.5 Partial 75 Slip 25,10000000.0,102000000.0,708724516.1807687,2048246.7766109707,706676269.4041578,606724516.1807687,0.7683388794929488,9.783297067548268,0.43405572479541066,0.2774780834140097,238697553.02794427,1.1907515381251943,1.845538903804169,140,5
research063_cashgate125_partial75_slip50_top5,Research 063 CashGate 12.5 Partial 75 Slip 50,10000000.0,102000000.0,678907544.9891255,2036246.6802532964,676871298.3088722,576907544.9891255,0.749950072641368,9.032982505906839,0.42263835106913006,0.27974196760958653,224652496.76722932,1.1698005972609675,1.8109739638191378,140,5
research063_cashgate125_partial75_midcontrib_top5,Research 063 CashGate 12.5 Partial 75 Mid Contribution,10000000.0,102000000.0,721847786.0443004,4048381.9951499505,717799404.0491505,619847786.0443004,0.7831038393246126,10.427978750570437,0.4389572397907975,0.28443933858316234,245198807.95589116,1.1987568841114316,1.8783948247162185,139,5
research063_cashgate125_partial75_lastcontrib_top5,Research 063 CashGate 12.5 Partial 75 Last Contribution,10000000.0,102000000.0,726476371.4922283,4059464.535245599,722416906.9569826,624476371.4922283,0.7924528699551594,10.666178493147271,0.44066870768984323,0.2731718666392885,247310950.1102361,1.1935363371272607,1.8810889533090747,138,5
research063_cashgate125_partial50_slip25_top5,Research 063 CashGate 12.5 Partial 50 Slip 25,10000000.0,102000000.0,708591520.3270934,2019250.922935591,706572269.4041578,606591520.3270934,0.7682583785796306,9.78113367332581,0.43400567427618797,0.2774780834140097,238568587.12531915,1.1917142679554422,1.8473069070744963,140,5
research063_cashgate125_partial50_slip50_top5,Research 063 CashGate 12.5 Partial 50 Slip 50,10000000.0,102000000.0,678936457.2533118,2018158.944439545,676918298.3088722,576936457.2533118,0.7499682444802602,9.033682368507982,0.42264961804058565,0.27974196760958653,224629436.08846748,1.170888046597605,1.812988589131448,140,5
all_weather,올웨더 (25/25/25/25),10000000.0,102000000.0,236331973.40551445,8419972.096538352,227912001.30897608,134331973.40551445,0.3230014933625352,2.1547826911172128,0.16913729914310172,0.09460809641473084,17629843.472687937,1.13735997960095,1.6633921217141712,186,4
benchmark_kodex200,KODEX 200 (069500.KS),10000000.0,102000000.0,323651357.441225,104307.44122499433,323547050.0,221651357.441225,0.4461670155930914,2.0392925326306295,0.23954124573023683,0.19900737271306343,0.0,1.0045672212116945,1.3062161505051604,65,1
benchmark_qqq,QQQ (NASDAQ-100),10000000.0,102000000.0,212310000.17628372,734436.7256529509,211575563.45063075,110310000.17628372,0.2815185870853021,2.1927072179287173,0.14606201440924194,0.18559796757298794,0.0,0.6642620006015183,0.9455110642064791,65,1
