매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2025-05-16,32450.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2025-05-15) · 12개월 고정 보유,두산에너빌리티,034020,KR,5.0,2,kuvic,2025-05-15,64200.0,2026-05-18,108100.0,367,231.13,12개월_만기
2025-05-14,171500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2025-05-13) · 12개월 고정 보유,세아제강,306200,KR,5.0,2,voera,2025-05-13,205630.0,2026-05-14,161900.0,365,-6.16,12개월_만기
2025-05-12,36400.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2025-05-09, ewha 2025-02-21, star 2025-01-09) · 12개월 고정 보유",HL만도,204320,KR,5.0,3,ewha|star|voera,2025-02-21|2025-01-09|2025-05-09,57950.0|57500.0|47500.0,2026-05-12,63800.0,365,74.22,12개월_만기
2025-05-12,33300.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-05-11, kuvic 2024-06-27, ewha 2021-03-13) · 12개월 고정 보유",한화솔루션,009830,KR,5.0,3,ewha|kuvic|smic,2025-05-11|2021-03-13|2024-06-27,91200.0|59700.0|49500.0,2026-05-12,44950.0,365,34.18,12개월_만기
2025-05-12,33750.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-05-11, kuvic 2024-04-07, star 2023-06-12) · 12개월 고정 보유",에스앤에스텍,101490,KR,5.0,3,kuvic|smic|star,2023-06-12|2024-04-07|2025-05-11,88000.0|89200.0|54700.0,2026-05-12,90400.0,365,166.25,12개월_만기
2025-05-12,20650.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-05-11) · 12개월 고정 보유,토모큐브,475960,KR,5.0,2,smic,2025-05-11,64550.0,2026-05-12,54500.0,365,162.34,12개월_만기
2025-05-09,75800.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-05-08) · 12개월 고정 보유,현대엘리베이터,017800,KR,5.0,2,yig,2025-05-08,139900.0,2026-05-11,97500.0,367,27.86,12개월_만기
2025-05-09,15090.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-05-08, smic 2022-10-13) · 12개월 고정 보유",KT나스미디어,089600,KR,5.0,2,smic|yig,2022-10-13|2025-05-08,45500.0|21550.0,2026-05-11,11850.0,367,-21.94,12개월_만기
2025-05-09,82600.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-05-08) · 12개월 고정 보유,한국콜마,161890,KR,5.0,2,yig,2025-05-08,106929.0,2026-05-11,97100.0,367,16.85,12개월_만기
2025-04-21,116900.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-04-19) · 12개월 고정 보유,CJ,001040,KR,5.0,1,smic,2025-04-19,,2026-04-21,212000.0,365,80.27,12개월_만기
2025-04-21,836999.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-04-19) · 12개월 고정 보유,한화에어로스페이스,012450,KR,5.0,2,smic,2025-04-19,1205000.0,2026-04-21,1427000.0,365,69.47,12개월_만기
2025-04-21,19540.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-04-19, star 2025-03-10) · 12개월 고정 보유",지엔씨에너지,119850,KR,5.0,3,smic|star,2025-03-10|2025-04-19,32000.0|39610.0,2026-04-21,35000.0,365,78.05,12개월_만기
2025-04-21,25800.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-04-19) · 12개월 고정 보유,노머스,473980,KR,5.0,1,smic,2025-04-19,37950.0,2026-04-21,18060.0,365,-30.42,12개월_만기
2025-04-21,55600.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-04-19) · 12개월 고정 보유,한화비전,489790,KR,5.0,1,smic,2025-04-19,111600.0,2026-04-21,85700.0,365,53.21,12개월_만기
2025-03-11,14000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2025-03-10) · 12개월 고정 보유,삼성중공업,010140,KR,5.0,2,star,2025-03-10,19330.0,2026-03-11,28400.0,365,101.64,12개월_만기
2025-03-11,67100.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2025-03-10, kuvic 2024-08-16) · 12개월 고정 보유",더존비즈온,012510,KR,5.0,2,kuvic|star,2024-08-16|2025-03-10,75900.0|102100.0,2026-03-11,119100.0,365,76.43,12개월_만기
2025-03-10,184100.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2025-03-08, star 2024-03-11, ewha 2024-02-16, smic 2023-12-06) · 12개월 고정 보유",코스맥스,192820,KR,5.0,4,ewha|smic|star|voera,2023-12-06|2024-02-16|2024-03-11|2025-03-08,142000.0|167700.0|147100.0|222100.0,2026-03-10,169900.0,365,-8.27,12개월_만기
2025-02-24,36350.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2025-02-21, smic 2024-11-07, yig 2023-11-02) · 12개월 고정 보유",브이티,018290,KR,5.0,3,ewha|smic|yig,2023-11-02|2024-11-07|2025-02-21,22551.0|55700.0|53500.0,2026-02-24,19150.0,365,-47.63,12개월_만기
2025-02-21,17870.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-02-20) · 12개월 고정 보유,한미글로벌,053690,KR,5.0,1,yig,2025-02-20,31400.0,2026-02-23,21050.0,367,17.09,12개월_만기
2024-05-14,60200.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-05-13) · 12개월 고정 보유,하나투어,039130,KR,5.0,2,kuvic,2024-05-13,87800.0,2025-05-14,50900.0,365,-15.96,12개월_만기
2024-05-10,33200.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2024-05-09) · 12개월 고정 보유,율촌화학,008730,KR,5.0,2,smic,2024-05-09,69000.0,2025-05-12,26950.0,367,-19.31,12개월_만기
2024-05-10,9860.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2024-05-09) · 12개월 고정 보유,롯데관광개발,032350,KR,5.0,4,smic,2024-05-09,19220.0,2025-05-12,10830.0,367,9.18,12개월_만기
