매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2023-03-06,83000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2023-03-03, smic 2022-11-13) · 36개월 고정 보유",S-Oil,010950,KR,5.0,4,smic|voera,2022-11-13|2023-03-03,122500.0,2026-03-06,141700.0,1096,69.7,36개월_만기
2023-03-02,16990.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-03-01) · 36개월 고정 보유,파라다이스,034230,KR,5.0,2,star,2023-03-01,27700.0,2026-03-03,19520.0,1097,14.2,36개월_만기
2023-03-02,269000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-03-01, ewha 2022-11-25) · 36개월 고정 보유",엘앤에프,066970,KR,5.0,3,ewha|star,2022-11-25|2023-03-01,261600.0|457300.0,2026-03-03,120300.0,1097,-55.55,36개월_만기
2023-03-02,11890.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-03-01) · 36개월 고정 보유,한양디지텍,078350,KR,5.0,2,star,2023-03-01,24100.0,2026-03-03,24700.0,1097,106.49,36개월_만기
2023-03-02,37350.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-03-01, ewha 2022-10-08, yig 2019-11-01) · 36개월 고정 보유",한국타이어앤테크놀로지,161390,KR,5.0,3,ewha|star|yig,2019-11-01|2022-10-08|2023-03-01,71500.0|47000.0|59500.0,2026-03-03,72900.0,1097,94.01,36개월_만기
2023-02-14,81332.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-13) · 36개월 고정 보유,현대글로비스,086280,KR,5.0,1,ewha,2023-02-13,250000.0,2026-02-19,257000.0,1101,214.1,36개월_만기
2023-02-15,27250.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-02-14, smic 2022-12-08) · 36개월 고정 보유",삼성E&A,028050,KR,5.0,2,smic|star,2022-12-08|2023-02-14,33800.0|35250.0,2026-02-19,35000.0,1100,27.67,36개월_만기
2023-02-15,34250.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-02-14) · 36개월 고정 보유,슈피겐코리아,192440,KR,5.0,1,star,2023-02-14,72740.0,2026-02-19,24350.0,1100,-29.33,36개월_만기
2023-02-15,76500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-02-14) · 36개월 고정 보유,레인보우로보틱스,277810,KR,5.0,1,star,2023-02-14,,2026-02-19,684000.0,1100,788.76,36개월_만기
2023-02-17,13740.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-02-16) · 36개월 고정 보유,DN오토모티브,007340,KR,5.0,2,star,2023-02-16,27887.02,2026-02-19,32800.0,1098,137.29,36개월_만기
2023-02-17,15940.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-02-16) · 36개월 고정 보유,젬백스,082270,KR,5.0,1,star,2023-02-16,20550.0,2026-02-19,42150.0,1098,162.84,36개월_만기
2023-02-17,38050.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-02-16) · 36개월 고정 보유,ISC,095340,KR,5.0,2,star,2023-02-16,51000.0,2026-02-19,172100.0,1098,349.59,36개월_만기
2023-02-13,20400.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-11) · 36개월 고정 보유,월덱스,101160,KR,5.0,2,ewha,2023-02-11,31050.0,2026-02-13,25750.0,1096,25.47,36개월_만기
2023-02-13,21469.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-11, smic 2022-04-16) · 36개월 고정 보유",인터로조,119610,KR,5.0,3,ewha|smic,2022-04-16|2023-02-11,45500.0|40400.0,2026-02-13,18150.0,1096,-15.97,36개월_만기
2023-02-13,14720.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-11) · 36개월 고정 보유,케이엔제이,272110,KR,5.0,1,ewha,2023-02-11,18100.0,2026-02-13,33350.0,1096,125.21,36개월_만기
2023-02-09,100000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08) · 36개월 고정 보유,에스엠,041510,KR,5.0,2,ewha,2023-02-08,135600.0,2026-02-09,107600.0,1096,6.96,36개월_만기
2023-02-09,77000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08) · 36개월 고정 보유,파마리서치,214450,KR,5.0,6,ewha,2023-02-08,107000.0,2026-02-09,339000.0,1096,337.62,36개월_만기
2023-02-09,4840.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08) · 36개월 고정 보유,원텍,336570,KR,5.0,2,ewha,2023-02-08,6200.0,2026-02-09,8140.0,1096,67.17,36개월_만기
2023-02-09,198000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08, voera 2022-05-28, smic 2021-11-19) · 36개월 고정 보유",하이브,352820,KR,5.0,6,ewha|smic|voera,2021-11-19|2022-05-28|2023-02-08,628000.0|381500.0|229500.0,2026-02-09,364500.0,1096,82.99,36개월_만기
2023-01-03,137000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2023-01-02) · 36개월 고정 보유,휴젤,145020,KR,5.0,4,voera,2023-01-02,387000.0,2026-01-05,238500.0,1098,73.04,36개월_만기
2020-01-02,12730.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11) · 36개월 고정 보유,NHN KCP,060250,KR,5.0,1,smic,2019-08-11,19300.0,2023-01-02,13350.0,1096,4.24,36개월_만기
2020-01-02,3057.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-12-24) · 36개월 고정 보유,세진중공업,075580,KR,5.0,3,smic,2019-12-24,,2023-01-02,5200.0,1096,69.08,36개월_만기
