매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2023-11-03,18300.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2023-11-02),브이티,018290,KR,5.0,3,yig,2023-11-02,22551.0,2026-01-02,17690.0,791,-3.91,thesis_break_200MA
2025-03-10,184100.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2025-03-08, star 2024-03-11, ewha 2024-02-16, smic 2023-12-06)",코스맥스,192820,KR,5.0,4,ewha|smic|star|voera,2023-12-06|2024-02-16|2024-03-11|2025-03-08,142000.0|167700.0|147100.0|222100.0,2025-12-01,167400.0,266,-9.62,thesis_break_200MA
2025-04-07,64600.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-04-04, kuvic 2024-10-07, star 2023-09-08)",경동나비엔,009450,KR,5.0,3,kuvic|star|yig,2023-09-08|2024-10-07|2025-04-04,80300.0|146700.0|98800.0,2025-12-01,60200.0,238,-7.37,thesis_break_200MA
2023-06-12,19271.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-06-09, ewha 2021-10-09)",DI동일,001530,KR,5.0,2,ewha|smic,2021-10-09|2023-06-09,30700.0,2025-11-03,16971.0,875,-12.46,thesis_break_200MA
2024-12-06,72700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2024-12-05, ewha 2022-08-13)",JYP Ent.,035900,KR,5.0,3,ewha|smic,2024-12-05|2022-08-13,116604.0|75100.0,2025-04-01,59500.0,116,-18.65,thesis_break_200MA
2020-05-07,8920.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2020-05-06),인텍플러스,064290,KR,5.0,1,smic,2020-05-06,12534.0,2025-04-01,9010.0,1790,0.4,thesis_break_200MA
2024-08-19,110500.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-16, star 2023-07-14, ewha 2021-02-20)",HD현대미포,010620,KR,5.0,4,ewha|kuvic|star,2021-02-20|2023-07-14|2024-08-16,69100.0|111300.0|193000.0,2025-03-04,106000.0,197,-4.65,thesis_break_200MA
2024-10-07,13330.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2024-10-04),대한전선,001440,KR,5.0,1,ewha,2024-10-04,18230.0,2025-03-04,11740.0,148,-12.46,thesis_break_200MA
2020-01-02,2675.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),알서포트,131370,KR,5.0,1,smic,2019-08-11,5200.0,2025-01-02,2645.0,1827,-1.71,thesis_break_200MA
2024-12-02,8800.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2024-11-29, smic 2024-05-09)",롯데관광개발,032350,KR,5.0,4,smic|yig,2024-05-09|2024-11-29,19220.0|16780.0,2025-01-02,7650.0,31,-13.59,thesis_break_200MA
2023-02-09,4840.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08),원텍,336570,KR,5.0,2,ewha,2023-02-08,6200.0,2024-12-02,4255.0,662,-12.61,thesis_break_200MA
2024-07-01,224.75,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-06-28),FSLR,FSLR,US,5.0,1,kuvic,2024-06-28,330.0,2024-12-02,204.35,154,-8.34,thesis_break_200MA
2024-08-16,294000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-15, smic 2024-05-09)",알테오젠,196170,KR,5.0,2,kuvic|smic,2024-05-09|2024-08-15,242200.0,2024-12-02,283500.0,108,-4.15,thesis_break_200MA
2024-08-19,57300.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-16),더존비즈온,012510,KR,5.0,2,kuvic,2024-08-16,75900.0,2024-10-02,51600.0,44,-10.49,thesis_break_200MA
2023-02-09,198000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08, voera 2022-05-28, smic 2021-11-19)",하이브,352820,KR,5.0,6,ewha|smic|voera,2021-11-19|2022-05-28|2023-02-08,628000.0|381500.0|229500.0,2024-08-01,174300.0,539,-12.5,thesis_break_200MA
2023-12-07,38550.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-12-06),동진쎄미켐,005290,KR,5.0,2,smic,2023-12-06,62950.0,2024-08-01,36800.0,238,-5.11,thesis_break_200MA
2024-06-03,11740.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2024-06-01, star 2024-03-11)",비에이치아이,083650,KR,5.0,4,ewha|star,2024-03-11|2024-06-01,10440.0|15150.0,2024-08-01,9050.0,59,-23.37,thesis_break_200MA
2023-10-05,205000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-10-04, smic 2021-12-13)",세아제강지주,003030,KR,5.0,2,smic|star,2021-12-13|2023-10-04,154000.0|283700.0,2024-07-01,192000.0,270,-6.9,thesis_break_200MA
2023-12-05,85300.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-12-04, yig 2023-11-02)",케이아이엔엑스,093320,KR,5.0,2,star|yig,2023-12-04|2023-11-02,128000.0|148000.0,2024-06-03,80500.0,181,-6.19,thesis_break_200MA
