매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-01-26,35100.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2026-01-23, star 2025-12-12, ewha 2025-07-25, smic 2024-12-05)",RFHIC,218410,KR,5.0,4,ewha|smic|star|yig,2024-12-05|2025-07-25|2025-12-12|2026-01-23,17650.0|39500.0|42050.0|50500.0,2026-06-11,70000.0,136,98.24,chandelier_ATR5
2025-11-21,250000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2025-11-20, smic 2020-05-31)",이오테크닉스,039030,KR,5.0,2,kuvic|smic,2020-05-31|2025-11-20,107593.0|416000.0,2026-06-09,404500.0,200,60.83,chandelier_ATR5
2026-01-02,115200.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2026-01-01, ewha 2021-08-21)",OCI홀딩스,010060,KR,5.0,2,ewha|yig,2021-08-21|2026-01-01,113156.0|159300.0,2026-06-09,270500.0,158,133.4,chandelier_ATR5
2025-11-18,17130.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2025-11-17),제이에스링크,127120,KR,5.0,1,kuvic,2025-11-17,48200.0,2026-06-09,33000.0,203,91.49,chandelier_ATR5
2026-03-16,152200.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2026-03-14),녹십자,006280,KR,5.0,1,star,2026-03-14,287100.0,2026-06-08,117800.0,84,-23.07,chandelier_ATR5
2026-03-30,121300.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2026-03-27, ewha 2025-10-04, star 2025-08-31, voera 2023-11-17, smic 2021-12-13)",인텔리안테크,189300,KR,5.0,5,ewha|kuvic|smic|star|voera,2025-10-04|2021-12-13|2026-03-27|2023-11-17|2025-08-31,67400.0|122000.0|198000.0|96600.0|71700.0,2026-06-05,121900.0,67,-0.11,chandelier_ATR5
2026-03-16,236000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2026-03-14, kuvic 2025-02-25, yig 2024-05-04)",SK가스,018670,KR,5.0,3,kuvic|star|yig,2024-05-04|2025-02-25|2026-03-14,320000.0|318500.0,2026-06-04,224500.0,80,-5.44,chandelier_ATR5
2025-11-26,95500.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-11-25, kuvic 2024-02-28)",HD건설기계,267270,KR,5.0,2,kuvic|yig,2024-02-28|2025-11-25,81000.0|128300.0,2026-06-01,147200.0,187,53.21,chandelier_ATR5
2026-03-05,74000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2026-03-04, ewha 2024-10-05, star 2024-03-11)",코스메카코리아,241710,KR,5.0,3,ewha|star|voera,2024-03-11|2024-10-05|2026-03-04,62800.0|116600.0|99200.0,2026-05-28,69800.0,84,-6.24,chandelier_ATR5
2026-03-30,18240.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2026-03-27),LS머트리얼즈,417200,KR,5.0,1,kuvic,2026-03-27,37300.0,2026-05-21,21050.0,52,14.71,chandelier_ATR5
2026-01-26,30900.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2026-01-24, kuvic 2025-06-26, smic 2023-05-11)",태웅,044490,KR,5.0,3,ewha|kuvic|smic,2023-05-11|2025-06-26|2026-01-24,28600.0|48000.0|45800.0,2026-05-20,37800.0,114,21.6,chandelier_ATR5
2025-12-02,36.84,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2025-12-01),IMAX,IMAX,US,5.0,1,smic,2025-12-01,54.6,2026-04-20,35.0,139,-5.56,chandelier_ATR5
2026-02-09,98000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2026-02-06, star 2024-01-06)",선익시스템,171090,KR,5.0,2,star|yig,2024-01-06|2026-02-06,54700.0|131400.0,2026-03-24,100600.0,43,2.04,chandelier_ATR5
