매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-02-10,118900.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2026-02-09, ewha 2024-06-01, star 2022-10-31)",비나텍,126340,KR,5.0,3,ewha|kuvic|star,2024-06-01|2022-10-31|2026-02-09,80200.0|65400.0|165100.0,2026-04-29,165100.0,78,38.02,목표가_절반익절
2025-12-15,301500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2025-12-12),삼성SDI,006400,KR,5.0,1,star,2025-12-12,479000.0,2026-04-09,479000.0,115,57.92,목표가_절반익절
2026-01-02,115200.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2026-01-01, ewha 2021-08-21)",OCI홀딩스,010060,KR,5.0,2,ewha|yig,2021-08-21|2026-01-01,113156.0|159300.0,2026-02-09,155000.0,38,33.74,목표가_절반익절
2023-11-03,18300.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2023-11-02),브이티,018290,KR,5.0,3,yig,2023-11-02,22551.0,2026-01-02,17690.0,791,-3.91,runner_thesis_break_200MA
2025-07-21,22100.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-07-18),지니언스,263860,KR,5.0,1,yig,2025-07-18,32500.0,2026-01-02,18860.0,165,69.66,runner_thesis_break_200MA
2025-04-07,116200.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2025-04-04, star 2024-09-11)",삼성전기,009150,KR,5.0,3,ewha|star,2024-09-11|2025-04-04,207500.0|187900.0,2025-12-08,262000.0,245,124.12,목표가_절반익절
2025-03-10,184100.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2025-03-08, star 2024-03-11, ewha 2024-02-16, smic 2023-12-06)",코스맥스,192820,KR,5.0,4,ewha|smic|star|voera,2023-12-06|2024-02-16|2024-03-11|2025-03-08,142000.0|167700.0|147100.0|222100.0,2025-12-01,167400.0,266,-9.62,runner_thesis_break_200MA
2025-06-27,37300.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2025-06-26, smic 2023-05-11)",태웅,044490,KR,5.0,3,kuvic|smic,2023-05-11|2025-06-26,28600.0|48000.0,2025-12-01,23900.0,157,27.38,runner_thesis_break_200MA
2023-06-12,19271.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-06-09, ewha 2021-10-09)",DI동일,001530,KR,5.0,2,ewha|smic,2021-10-09|2023-06-09,30700.0,2025-11-03,16971.0,875,-12.46,runner_thesis_break_200MA
2025-05-14,83700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2025-05-13, yig 2025-05-08)",한국콜마,161890,KR,5.0,2,kuvic|yig,2025-05-08|2025-05-13,106929.0,2025-10-01,78000.0,140,-7.37,runner_thesis_break_200MA
2025-05-14,83700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2025-05-13, yig 2025-05-08)",한국콜마,161890,KR,5.0,2,kuvic|yig,2025-05-08|2025-05-13,106929.0,2025-07-10,106929.0,57,26.99,목표가_절반익절
2025-02-10,8310.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-02-07),오스테오닉,226400,KR,5.0,2,yig,2025-02-07,12560.0,2025-07-01,6160.0,141,47.37,runner_thesis_break_200MA
2025-01-10,27959.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2025-01-09, ewha 2023-03-11, smic 2022-11-13)",이수페타시스,007660,KR,5.0,3,ewha|smic|star,2022-11-13|2023-03-11|2025-01-09,7600.0|15600.0|51600.0,2025-06-26,50500.0,167,79.54,목표가_절반익절
2025-03-10,184100.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2025-03-08, star 2024-03-11, ewha 2024-02-16, smic 2023-12-06)",코스맥스,192820,KR,5.0,4,ewha|smic|star|voera,2023-12-06|2024-02-16|2024-03-11|2025-03-08,142000.0|167700.0|147100.0|222100.0,2025-06-04,221500.0,86,19.59,목표가_절반익절
2024-01-08,54000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2024-01-06),코웨이,021240,KR,5.0,1,star,2024-01-06,93600.0,2025-05-12,92000.0,490,69.35,목표가_절반익절
2020-05-07,8920.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2020-05-06),인텍플러스,064290,KR,5.0,1,smic,2020-05-06,12534.0,2025-04-01,9010.0,1790,0.4,runner_thesis_break_200MA
2025-02-21,17870.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-02-20),한미글로벌,053690,KR,5.0,1,yig,2025-02-20,31400.0,2025-04-01,14810.0,39,64.76,runner_thesis_break_200MA
2024-08-19,110500.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-16, star 2023-07-14, ewha 2021-02-20)",HD현대미포,010620,KR,5.0,4,ewha|kuvic|star,2021-02-20|2023-07-14|2024-08-16,69100.0|111300.0|193000.0,2025-03-04,106000.0,197,90.71,runner_thesis_break_200MA
2025-01-10,744000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2025-01-09, yig 2024-11-07)",삼양식품,003230,KR,5.0,2,star|yig,2024-11-07|2025-01-09,909000.0|784000.0,2025-02-17,886000.0,38,18.37,목표가_절반익절
2024-12-06,13840.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2024-12-05, voera 2024-07-26)",동성화인텍,033500,KR,5.0,3,smic|voera,2024-07-26|2024-12-05,19730.0|20600.0,2025-01-22,20600.0,47,47.95,목표가_절반익절
2020-01-02,2675.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),알서포트,131370,KR,5.0,1,smic,2019-08-11,5200.0,2025-01-02,2645.0,1827,-1.71,runner_thesis_break_200MA
2024-10-18,93000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2024-10-17, ewha 2022-02-12, voera 2021-09-15)",SOOP,067160,KR,5.0,3,ewha|smic|voera,2021-09-15|2022-02-12|2024-10-17,185200.0|173000.0|182500.0,2025-01-02,90600.0,76,93.67,runner_thesis_break_200MA
