매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2025-03-10,184100.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2025-03-08, star 2024-03-11, ewha 2024-02-16, smic 2023-12-06) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",코스맥스,192820,KR,5.0,4,ewha|smic|star|voera,2023-12-06|2024-02-16|2024-03-11|2025-03-08,142000.0|167700.0|147100.0|222100.0,2025-12-01,167400.0,266,-9.62,thesis_break_200MA
2024-12-06,72700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2024-12-05, ewha 2022-08-13) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",JYP Ent.,035900,KR,5.0,3,ewha|smic,2024-12-05|2022-08-13,116604.0|75100.0,2025-04-01,59500.0,116,-18.65,thesis_break_200MA
2025-02-21,17870.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2025-02-20) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),한미글로벌,053690,KR,5.0,1,yig,2025-02-20,31400.0,2025-04-01,14810.0,39,-17.62,thesis_break_200MA
2024-08-19,110500.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-16, star 2023-07-14, ewha 2021-02-20) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",HD현대미포,010620,KR,5.0,4,ewha|kuvic|star,2021-02-20|2023-07-14|2024-08-16,69100.0|111300.0|193000.0,2025-03-04,106000.0,197,-4.65,thesis_break_200MA
2024-03-12,53700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2024-03-11, kuvic 2023-11-19, smic 2022-12-08) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",한국항공우주,047810,KR,5.0,4,kuvic|smic|star,2022-12-08|2023-11-19|2024-03-11,67000.0|69400.0|71500.0,2025-02-03,52500.0,328,-2.82,thesis_break_200MA
2024-07-01,203500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2024-06-30) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),미원상사,002840,KR,5.0,1,star,2024-06-30,348500.0,2024-12-02,188900.0,154,-7.73,thesis_break_200MA
2024-08-19,57300.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-16) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),더존비즈온,012510,KR,5.0,2,kuvic,2024-08-16,75900.0,2024-10-02,51600.0,44,-10.49,thesis_break_200MA
2023-04-10,15650.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-04-08) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),텔레칩스,054450,KR,5.0,1,ewha,2023-04-08,22310.0,2024-09-02,14620.0,511,-7.14,thesis_break_200MA
2024-06-03,51016.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2024-06-01, star 2022-10-31) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",비나텍,126340,KR,5.0,3,ewha|star,2024-06-01|2022-10-31,80200.0|65400.0,2024-08-01,38958.0,59,-24.09,thesis_break_200MA
2023-02-09,198000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08, voera 2022-05-28, smic 2021-11-19) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",하이브,352820,KR,5.0,6,ewha|smic|voera,2021-11-19|2022-05-28|2023-02-08,628000.0|381500.0|229500.0,2024-08-01,174300.0,539,-12.5,thesis_break_200MA
2023-10-05,205000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-10-04, smic 2021-12-13) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",세아제강지주,003030,KR,5.0,2,smic|star,2021-12-13|2023-10-04,154000.0|283700.0,2024-07-01,192000.0,270,-6.9,thesis_break_200MA
2023-11-03,90000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2023-11-02, star 2023-09-08) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",케이아이엔엑스,093320,KR,5.0,2,star|yig,2023-09-08|2023-11-02,99300.0|148000.0,2024-06-03,80500.0,213,-11.09,thesis_break_200MA
2023-12-07,121000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-12-06) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),코스맥스,192820,KR,5.0,4,smic,2023-12-06,142000.0,2024-03-04,108300.0,88,-11.03,thesis_break_200MA
2024-01-08,7130.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2024-01-06) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),코스맥스엔비티,222040,KR,5.0,1,star,2024-01-06,9660.0,2024-03-04,5460.0,56,-23.88,thesis_break_200MA
2023-10-05,5000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-10-04) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),삼영,003720,KR,5.0,3,star,2023-10-04,7820.0,2024-01-02,4475.0,89,-11.04,thesis_break_200MA
2023-02-09,100000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),에스엠,041510,KR,5.0,2,ewha,2023-02-08,135600.0,2023-12-01,86800.0,295,-13.72,thesis_break_200MA
2023-02-13,21469.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-11, smic 2022-04-16) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",인터로조,119610,KR,5.0,3,ewha|smic,2022-04-16|2023-02-11,45500.0|40400.0,2023-12-01,20818.0,291,-3.61,thesis_break_200MA
2023-08-21,404688.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-08-20, ewha 2021-09-28) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",포스코퓨처엠,003670,KR,5.0,2,ewha|star,2021-09-28|2023-08-20,192000.0|650000.0,2023-11-01,233120.0,72,-42.74,thesis_break_200MA
2023-05-04,47700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2023-05-03, star 2023-04-22) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",티앤엘,340570,KR,5.0,4,star|voera,2023-04-22|2023-05-03,63300.0|105000.0,2023-10-04,42350.0,153,-11.75,thesis_break_200MA
2020-08-24,143100.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2020-08-22) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),천보,278280,KR,5.0,1,ewha,2020-08-22,,2023-10-04,130200.0,1136,-9.56,thesis_break_200MA
2022-08-17,64500.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2022-08-16, yig 2022-05-18, voera 2021-05-14, ewha 2020-08-22) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",씨에스윈드,112610,KR,5.0,6,ewha|star|voera|yig,2020-08-22|2021-05-14|2022-05-18|2022-08-16,107000.0|90900.0|79200.0|66210.0,2023-09-01,63900.0,380,-1.52,thesis_break_200MA
2023-07-05,28300.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-07-04, smic 2019-11-05) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",비에이치,090460,KR,5.0,3,smic|star,2019-11-05|2023-07-04,45300.0|39000.0,2023-08-01,24050.0,27,-15.53,thesis_break_200MA
2020-10-12,16621.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2020-10-10) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),동화기업,025900,KR,5.0,1,ewha,2020-10-10,58100.0,2023-07-03,16041.0,994,-4.07,thesis_break_200MA
2020-05-18,315500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2020-05-17) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),CJ제일제당,097950,KR,5.0,2,voera,2020-05-17,395000.0,2023-05-02,307500.0,1079,-3.12,thesis_break_200MA
2023-03-02,16990.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-03-01) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),파라다이스,034230,KR,5.0,2,star,2023-03-01,27700.0,2023-05-02,15360.0,61,-10.14,thesis_break_200MA
2022-08-17,21400.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2022-08-16) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),제이브이엠,054950,KR,5.0,3,star,2022-08-16,26320.0,2023-04-03,17500.0,229,-18.71,thesis_break_200MA
2022-11-01,37419.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2022-10-31, ewha 2021-05-22) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",비나텍,126340,KR,5.0,3,ewha|star,2021-05-22|2022-10-31,51800.0|65400.0,2023-01-02,35394.0,62,-5.98,thesis_break_200MA
2022-12-09,149506.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2022-12-08) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),셀트리온,068270,KR,5.0,3,smic,2022-12-08,222000.0,2023-01-02,141175.0,24,-6.14,thesis_break_200MA
2022-03-16,46600.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2022-03-15, ewha 2021-03-10) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과)",해성디에스,195870,KR,5.0,2,ewha|star,2021-03-10|2022-03-15,53700.0|67300.0,2022-10-04,42400.0,202,-9.56,thesis_break_200MA
2020-08-24,7260.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2020-08-22) · 진입 조건: 시가 > 200MA (모멘텀 필터 통과),SY동아,041930,KR,5.0,1,ewha,2020-08-22,13900.0,2022-10-04,7200.0,771,-1.42,thesis_break_200MA
