매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-05-21,47550.0,발간일(2026-05-18) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),코스텍시스,355150,KR,5.0,3,kuvic|smic|yig,2026-05-07|2026-05-08|2026-05-18,112400.0|84400.0|159000.0,2026-06-11,31250.0,21,-34.67,dip_atr3_stop
2026-05-21,75500.0,발간일(2026-04-04) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),비에이치아이,083650,KR,5.0,4,ewha|kuvic|star|voera,2025-08-31|2026-04-04|2024-11-14|2025-07-30,61600.0|134000.0|16190.0|49000.0,2026-06-09,60400.0,19,-20.48,dip_atr3_stop
2026-05-19,19010.0,발간일(2026-04-16) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),SK오션플랜트,100090,KR,5.0,3,ewha|smic|star,2024-10-05|2025-08-31|2026-04-16,20090.0|32100.0|41600.0,2026-06-09,14220.0,21,-25.65,dip_atr3_stop
2026-05-20,77600.0,발간일(2026-05-02) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),선익시스템,171090,KR,5.0,2,star|yig,2026-05-02|2026-02-06,173900.0|131400.0,2026-06-09,69300.0,20,-11.23,dip_atr3_stop
2026-05-20,1347000.0,발간일(2025-12-12) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),삼성바이오로직스,207940,KR,5.0,2,star|voera,2021-08-17|2025-12-12,2142000.0,2026-06-09,1255000.0,20,-7.39,dip_atr3_stop
2026-05-22,297000.0,발간일(2025-12-15) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),파마리서치,214450,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2025-08-22|2025-12-15|2024-09-14|2024-11-11|2025-01-09|2025-05-17,962000.0|805000.0|245000.0|250000.0,2026-06-09,260000.0,18,-12.98,dip_atr3_stop
2026-05-29,5160.0,발간일(2026-03-14) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),오스테오닉,226400,KR,5.0,2,star|yig,2025-02-07|2026-03-14,12560.0|9250.0,2026-06-09,4395.0,11,-15.34,dip_atr3_stop
2026-05-18,211000.0,발간일(2026-05-07) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),HD현대마린솔루션,443060,KR,5.0,1,smic,2026-05-07,393000.0,2026-06-09,210000.0,22,-1.07,dip_atr3_stop
2026-05-19,51700.0,발간일(2026-03-14) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),링크솔루션,474650,KR,5.0,1,star,2026-03-14,100400.0,2026-06-09,36500.0,21,-29.82,dip_atr3_stop
2026-05-07,10180.0,발간일(2025-11-26) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),인카금융서비스,211050,KR,5.0,3,kuvic|smic|star,2023-11-29|2024-10-17|2025-11-26,4101.93|8100.0|36700.0,2026-06-08,8100.0,32,-20.91,dip_atr3_stop
