매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-03-27,97000.0,피에스케이홀딩스,031980,KR,5.0,1,star,2026-03-26,155200.0,2026-06-01,107000.0,66,9.65,minervini_close<50MA
2026-05-12,470000.0,효성티앤씨,298020,KR,5.0,3,smic|star|yig,2023-11-03|2023-05-03|2026-05-11,514000.0|536700.0|844000.0,2026-05-26,435500.0,14,-7.9,minervini_close<50MA
2026-03-27,79200.0,코오롱인더,120110,KR,5.0,2,ewha|star,2021-08-21|2026-03-26,90876.0|110400.0,2026-05-18,77200.0,52,-3.11,minervini_close<50MA
2026-04-06,92500.0,비에이치아이,083650,KR,5.0,4,ewha|kuvic|star|voera,2025-07-24|2026-04-04|2024-11-14|2025-07-30,61600.0|134000.0|16190.0|49000.0,2026-05-11,95600.0,35,2.73,minervini_close<50MA
2026-03-30,121300.0,인텔리안테크,189300,KR,5.0,5,ewha|kuvic|smic|star|voera,2025-10-04|2021-12-04|2026-03-27|2023-11-17|2025-08-22,67400.0|122000.0|198000.0|96600.0|71700.0,2026-04-13,112800.0,14,-7.56,minervini_close<50MA
2026-02-10,118900.0,비나텍,126340,KR,5.0,3,ewha|kuvic|star,2024-06-01|2022-10-31|2026-02-09,80200.0|65400.0|165100.0,2026-04-13,106700.0,62,-10.8,minervini_close<50MA
2026-02-09,98000.0,선익시스템,171090,KR,5.0,2,star|yig,2024-01-06|2026-02-06,54700.0|131400.0,2026-04-06,94100.0,56,-4.55,minervini_close<50MA
2026-01-26,55200.0,에스엘,005850,KR,5.0,3,ewha|smic|star,2026-01-24|2021-05-29|2023-03-16,82300.0|50000.0|39000.0,2026-04-06,55000.0,70,-0.96,minervini_close<50MA
2026-01-30,305500.0,신세계,004170,KR,5.0,2,star|voera,2020-05-14|2026-01-29,278000.0|424500.0,2026-04-06,308000.0,66,0.21,minervini_close<50MA
2026-03-27,152500.0,에스티팜,237690,KR,5.0,4,ewha|smic|star|yig,2024-04-13|2026-03-26|2025-08-22|2024-11-07,114301.0|224800.0|133700.0|160000.0,2026-04-06,138000.0,10,-10.05,minervini_close<50MA
2026-01-16,53600.0,한화엔진,082740,KR,5.0,4,smic|star,2026-01-15|2024-11-29,73700.0|24352.0,2026-03-09,45650.0,52,-15.34,minervini_close<50MA
2025-11-26,54700.0,엘앤씨바이오,290650,KR,5.0,1,ewha,2025-11-25,82900.0,2026-01-19,54200.0,54,-1.51,minervini_close<50MA
2025-10-13,185400.0,로보티즈,108490,KR,5.0,3,voera|yig,2025-03-01|2025-10-10,45700.0|254100.0,2026-01-12,238000.0,91,27.6,minervini_close<50MA
2025-09-26,28400.0,대덕전자,353200,KR,5.0,2,star,2025-09-25,44000.0,2026-01-12,42400.0,108,48.4,minervini_close<50MA
2025-09-26,72500.0,삼성증권,016360,KR,5.0,1,star,2025-09-25,99700.0,2026-01-05,75700.0,101,3.79,minervini_close<50MA
2025-11-21,250000.0,이오테크닉스,039030,KR,5.0,2,kuvic|smic,2020-05-09|2025-11-20,107593.0|416000.0,2025-12-22,255000.0,31,1.39,minervini_close<50MA
2025-11-26,253000.0,에이피알,278470,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2024-05-03|2025-09-25|2025-02-07|2025-04-05|2025-05-12|2025-11-25,82800.0|318500.0|68800.0|100500.0|362500.0,2025-12-22,246500.0,26,-3.15,minervini_close<50MA
2025-11-14,50900.0,심텍,222800,KR,5.0,2,ewha|yig,2022-03-12|2025-11-13,66900.0|84100.0,2025-12-15,50800.0,31,-0.79,minervini_close<50MA
2025-07-28,25173.0,티엘비,356860,KR,5.0,2,ewha|smic,2024-11-06|2025-07-25,,2025-12-15,57552.0,140,127.26,minervini_close<50MA
2025-09-25,160800.0,티씨케이,064760,KR,5.0,4,ewha|kuvic|star|yig,2024-07-26|2024-08-16|2025-06-27|2025-09-24,166600.0|168100.0|146700.0|206400.0,2025-11-24,144300.0,60,-10.8,minervini_close<50MA
2025-09-25,48741.0,코미코,183300,KR,5.0,2,star|yig,2025-07-24|2025-09-24,87900.0|138000.0,2025-11-17,49963.0,53,1.89,minervini_close<50MA
2025-10-20,84.6523,GLW,GLW,US,5.0,1,smic,2025-10-18,144.0,2025-11-17,81.3333,28,-4.5,minervini_close<50MA
2025-11-03,37100.0,한국카본,017960,KR,5.0,3,ewha|smic|star,2024-09-26|2024-10-11|2025-10-31,18100.0|64000.0,2025-11-10,32200.0,7,-13.73,minervini_close<50MA
2025-05-13,101500.0,에이피알,278470,KR,5.0,6,ewha|kuvic|smic|star|yig,2024-05-03|2024-05-16|2025-02-07|2025-04-05|2025-05-12,82800.0|114371.21|68800.0|100500.0,2025-11-10,237500.0,181,132.59,minervini_close<50MA
2025-08-08,21900.0,SK오션플랜트,100090,KR,5.0,3,ewha|star,2024-10-05|2025-08-07,20090.0|32100.0,2025-10-20,21250.0,73,-3.55,minervini_close<50MA
2025-09-26,30300.0,RFHIC,218410,KR,5.0,4,ewha|smic|star,2024-11-29|2025-07-25|2025-09-25,17650.0|39500.0|42050.0,2025-10-20,28500.0,24,-6.5,minervini_close<50MA
2025-08-25,28700.0,엠씨넥스,097520,KR,5.0,2,ewha|star,2021-02-20|2025-08-22,70000.0|43700.0,2025-09-29,27950.0,35,-3.2,minervini_close<50MA
2025-05-19,416000.0,파마리서치,214450,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2023-02-08|2023-04-07|2024-09-14|2024-09-26|2024-11-11|2025-05-17,107000.0|111300.0|245000.0|250000.0|250000.0,2025-09-22,596000.0,126,42.41,minervini_close<50MA
2025-06-27,37300.0,태웅,044490,KR,5.0,3,kuvic|smic,2023-05-05|2025-06-26,28600.0|48000.0,2025-09-08,35900.0,73,-4.33,minervini_close<50MA
2025-08-08,108600.0,코웨이,021240,KR,5.0,1,star,2025-08-07,140000.0,2025-09-08,102600.0,31,-6.09,minervini_close<50MA
2025-07-28,27900.0,RFHIC,218410,KR,5.0,4,ewha|smic,2024-11-29|2025-07-25,17650.0|39500.0,2025-08-25,25350.0,28,-9.68,minervini_close<50MA
2025-07-21,7210.0,JTC,950170,KR,5.0,2,smic|yig,2023-04-07|2025-07-18,7100.0|9270.0,2025-08-11,6250.0,21,-13.83,minervini_close<50MA
2025-03-28,4910.0,글로벌텍스프리,204620,KR,5.0,3,smic|star|yig,2023-04-07|2025-02-21|2025-03-27,3800.0|5830.0|7080.0,2025-08-04,4715.0,129,-4.55,minervini_close<50MA
2025-07-25,39750.0,비에이치아이,083650,KR,5.0,4,ewha|kuvic|star,2025-07-24|2024-05-31|2024-11-14,61600.0|15150.0|16190.0,2025-08-04,36900.0,10,-7.73,minervini_close<50MA
2025-05-28,64700.0,현대건설,000720,KR,5.0,2,ewha,2025-05-27,,2025-07-28,65700.0,61,0.94,minervini_close<50MA
2025-03-28,28400.0,SAMG엔터,419530,KR,5.0,2,star,2025-03-27,40700.0,2025-07-21,72700.0,115,154.45,minervini_close<50MA
2025-05-16,13474.0,비츠로셀,082920,KR,5.0,3,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2025-07-14,14004.0,59,3.31,minervini_close<50MA
2025-04-14,34250.0,SNT에너지,100840,KR,5.0,3,smic|star|yig,2022-12-02|2023-05-24|2025-04-11,12884.09|11505.28|47000.0,2025-07-07,34600.0,84,0.42,minervini_close<50MA
2025-06-02,83700.0,한국항공우주,047810,KR,5.0,4,ewha|kuvic|smic|star,2022-12-03|2023-11-19|2024-03-11|2025-05-30,67000.0|69400.0|71500.0|125900.0,2025-07-07,83200.0,35,-1.19,minervini_close<50MA
2025-05-09,174600.0,HD현대미포,010620,KR,5.0,4,ewha|kuvic|smic|star,2021-02-20|2025-05-08|2024-08-16|2025-05-02,69100.0|219500.0|193000.0|250000.0,2025-07-07,169900.0,59,-3.27,minervini_close<50MA
2025-02-26,239500.0,SK가스,018670,KR,5.0,3,kuvic|yig,2024-05-04|2025-02-25,320000.0,2025-04-14,239500.0,47,-0.6,minervini_close<50MA
