매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-05-22,39900.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: yig 2026-05-21, kuvic 2026-05-18, smic 2026-05-07)",코스텍시스,355150,KR,5.0,3,kuvic|smic|yig,2026-05-07|2026-05-21|2026-05-18,112400.0|60000.0|159000.0,2026-06-11,31250.0,20,-22.15,rr_stop
2026-06-08,61300.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: yig 2026-06-05, star 2025-12-12)",브이엠,089970,KR,5.0,2,star|yig,2025-12-12|2026-06-05,59300.0|110000.0,2026-06-10,78231.25,2,26.86,rr_half_+2.5R
2026-06-01,836.24,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2026-05-29)",STRL,STRL,US,5.0,1,smic,2026-05-29,1500.0,2026-06-09,903.945,8,118.04,rr_stop
2026-03-06,59300.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2026-03-05, star 2025-12-12)",대덕전자,353200,KR,5.0,2,star|voera,2025-12-12|2026-03-05,100100.0,2026-06-04,157500.0,90,428.01,rr_stop
2026-05-19,28250.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: kuvic 2026-05-18, star 2025-03-10, ewha 2024-07-25)",에스티아이,039440,KR,5.0,3,ewha|kuvic|star,2024-07-25|2025-03-10|2026-05-18,41450.0|22000.0|46000.0,2026-06-04,27150.0,16,-4.47,rr_stop
2026-06-01,836.24,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2026-05-29)",STRL,STRL,US,5.0,1,smic,2026-05-29,1500.0,2026-06-04,992.1037,3,19.75,rr_half_+2.5R
2026-04-15,37300.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: yig 2026-04-14, star 2023-02-16)",DN오토모티브,007340,KR,5.0,2,star|yig,2023-02-16|2026-04-14,27887.02|60800.0,2026-06-01,43200.0,47,130.25,rr_stop
2026-05-21,254000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2026-05-20, star 2022-08-16)",LS ELECTRIC,010120,KR,5.0,2,star|voera,2022-08-16|2026-05-20,15325.38|360000.0,2026-06-01,240000.0,11,-6.08,rr_stop
2026-05-22,74600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: kuvic 2026-05-21, yig 2026-04-14, star 2026-03-14, smic 2024-12-05)",한화엔진,082740,KR,5.0,4,kuvic|smic|star|yig,2026-03-14|2024-12-05|2026-04-14|2026-05-21,73700.0|24352.0|64200.0|121000.0,2026-05-29,68500.0,7,-8.73,rr_stop
2026-05-26,229000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2026-05-22, yig 2024-09-13, star 2022-04-01, smic 2021-11-03)",주성엔지니어링,036930,KR,5.0,4,smic|star|voera|yig,2021-11-03|2022-04-01|2024-09-13|2026-05-22,26700.0|34100.0|31350.0|288820.0,2026-05-29,215000.0,3,-6.68,rr_stop
