매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-05-01,13.21,SRAD,SRAD,US,5.0,1,smic,2025-05-16,33.82,2026-06-01,13.13,31,-1.2,reversal_1mo_만기
2026-05-01,80.9732,IRMD,IRMD,US,5.0,1,smic,2025-11-22,146.0,2026-06-01,91.05,31,11.77,reversal_1mo_만기
2026-05-01,13.3,CLBT,CLBT,US,5.0,1,smic,2025-05-16,29.7,2026-06-01,14.8,31,10.61,reversal_1mo_만기
2026-04-01,68500.0,지투지바이오,456160,KR,5.0,1,smic,2025-11-01,,2026-05-01,85600.0,30,24.21,reversal_1mo_만기_no_open
2026-04-01,3.2,FNKO,FNKO,US,5.0,1,smic,2024-11-16,16.1,2026-05-01,4.37,30,35.74,reversal_1mo_만기
2026-04-01,87700.0,선익시스템,171090,KR,5.0,2,star|yig,2026-03-26|2026-02-06,173900.0|131400.0,2026-05-01,102500.0,30,16.18,reversal_1mo_만기_no_open
2026-04-01,58700.0,링크솔루션,474650,KR,5.0,1,star,2026-02-13,100400.0,2026-05-01,59400.0,30,0.59,reversal_1mo_만기_no_open
2026-04-01,70500.0,엘앤씨바이오,290650,KR,5.0,1,ewha,2025-11-25,82900.0,2026-05-01,63200.0,30,-10.89,reversal_1mo_만기_no_open
2026-04-01,25200.0,현대무벡스,319400,KR,5.0,1,star,2025-08-22,6400.0,2026-05-01,31350.0,30,23.66,reversal_1mo_만기_no_open
2026-04-01,38150.0,한화솔루션,009830,KR,5.0,3,ewha|kuvic|smic,2025-05-03|2021-03-13|2024-06-27,91200.0|59700.0|49500.0,2026-05-01,50700.0,30,32.1,reversal_1mo_만기_no_open
2026-04-01,43500.0,한국전력,015760,KR,5.0,2,smic|star,2024-11-01|2025-06-05,37630.0|40900.0,2026-05-01,43550.0,30,-0.48,reversal_1mo_만기_no_open
2026-04-01,54000.0,와이지엔터테인먼트,122870,KR,5.0,1,star,2024-12-05,62900.0,2026-05-01,54000.0,30,-0.6,reversal_1mo_만기_no_open
2026-04-01,381000.0,현대오토에버,307950,KR,5.0,2,ewha|yig,2021-02-12|2025-07-31,222000.0,2026-05-01,450500.0,30,17.53,reversal_1mo_만기_no_open
2026-04-01,57.34,ESTA,ESTA,US,5.0,1,smic,2025-11-21,118.76,2026-05-01,67.71,30,17.38,reversal_1mo_만기
2026-04-01,28850.0,일동제약,249420,KR,5.0,1,star,2025-04-10,16683.64,2026-05-01,26500.0,30,-8.7,reversal_1mo_만기_no_open
2026-04-01,99700.0,엠앤씨솔루션,484870,KR,5.0,2,kuvic|star,2026-02-13|2026-03-27,257300.0|158000.0,2026-05-01,115400.0,30,15.05,reversal_1mo_만기_no_open
2026-04-01,397000.0,현대모비스,012330,KR,5.0,2,ewha|smic,2021-08-21|2024-11-01,356000.0|386100.0,2026-05-01,425000.0,30,6.41,reversal_1mo_만기_no_open
2026-04-01,71300.0,디앤디파마텍,347850,KR,5.0,1,kuvic,2025-08-13,,2026-05-01,74200.0,30,3.44,reversal_1mo_만기_no_open
2026-04-01,176300.0,현대로템,064350,KR,5.0,2,star|yig,2025-03-27|2025-04-11,157500.0|137300.0,2026-05-01,268500.0,30,51.38,reversal_1mo_만기_no_open
2026-04-01,28350.0,대한전선,001440,KR,5.0,1,ewha,2024-10-04,18230.0,2026-05-01,56300.0,30,97.4,reversal_1mo_만기_no_open
2026-04-01,29850.0,에스티아이,039440,KR,5.0,2,ewha|star,2024-07-24|2025-01-02,41450.0|22000.0,2026-05-01,37400.0,30,24.54,reversal_1mo_만기_no_open
2026-04-01,270000.0,한솔케미칼,014680,KR,5.0,1,yig,2026-02-13,390000.0,2026-05-01,285000.0,30,4.92,reversal_1mo_만기_no_open
2026-04-01,89100.0,풍산,103140,KR,5.0,1,star,2025-07-10,163500.0,2026-05-01,99200.0,30,10.67,reversal_1mo_만기_no_open
2026-03-02,193.5,LEU,LEU,US,5.0,2,smic|star,2024-05-17|2025-05-29,255.98,2026-04-01,179.34,30,-7.87,reversal_1mo_만기
2026-03-02,76.61,CRWV,CRWV,US,5.0,1,smic,2025-10-17,,2026-04-01,79.49,30,3.14,reversal_1mo_만기
2026-03-02,50.945,TEM,TEM,US,5.0,1,smic,2025-05-16,228.5,2026-04-01,46.15,30,-9.95,reversal_1mo_만기
2026-02-02,5760.0,폰드그룹,472850,KR,5.0,1,smic,2025-05-29,16057.0,2026-03-02,6210.0,28,7.17,reversal_1mo_만기_no_open
2026-02-02,77000.0,프로티나,468530,KR,5.0,1,kuvic,2025-11-17,90700.0,2026-03-02,82100.0,28,5.98,reversal_1mo_만기_no_open
