매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-04-01,61000.0,씨에스윈드,112610,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2023-05-27|2021-05-14|2026-03-31|2025-08-22|2024-10-08|2024-10-11,103200.0|90900.0|88500.0|51700.0|96684.0|134400.0,2026-06-01,46700.0,61,-23.9,52w_hi_exit
2025-12-05,1667000.0,삼성바이오로직스,207940,KR,5.0,2,star|voera,2021-08-17|2025-12-04,2142000.0,2026-06-01,1356000.0,178,-19.14,52w_hi_exit
2026-01-16,53600.0,한화엔진,082740,KR,5.0,4,smic|star,2026-01-15|2024-11-29,73700.0|24352.0,2026-06-01,62500.0,136,15.91,52w_hi_exit
2024-09-27,108100.0,SK바이오팜,326030,KR,5.0,2,star,2024-09-26,151000.0,2026-04-01,96800.0,551,-10.99,52w_hi_exit
2025-12-08,81100.0,S-Oil,010950,KR,5.0,4,ewha|smic|star|voera,2025-12-06|2023-03-03|2023-03-11|2025-11-27,128400.0|117400.0|119900.0,2026-04-01,108500.0,114,32.98,52w_hi_exit
2026-01-16,21000.0,롯데관광개발,032350,KR,5.0,4,smic|star|yig,2024-05-03|2024-11-29|2026-01-15,19220.0|16780.0|30500.0,2026-04-01,18110.0,75,-14.28,52w_hi_exit
2025-02-07,227000.0,파크시스템스,140860,KR,5.0,4,ewha|smic|star,2020-04-18|2024-01-20|2025-02-06,55993.0|254300.0|303000.0,2026-01-02,209000.0,329,-8.48,52w_hi_exit
2025-04-14,34250.0,SNT에너지,100840,KR,5.0,3,smic|star|yig,2022-12-02|2023-05-24|2025-04-11,12884.09|11505.28|47000.0,2025-12-01,38500.0,231,11.74,52w_hi_exit
2025-07-21,7210.0,JTC,950170,KR,5.0,2,smic|yig,2023-04-07|2025-07-18,7100.0|9270.0,2025-12-01,3940.0,133,-45.68,52w_hi_exit
2024-09-27,194500.0,파마리서치,214450,KR,5.0,6,ewha|smic|star|yig,2023-02-08|2023-04-07|2024-09-14|2024-09-26,107000.0|111300.0|245000.0|250000.0,2025-12-01,480000.0,430,145.31,52w_hi_exit
2024-07-05,198100.0,LIG디펜스앤에어로스페이스,079550,KR,5.0,2,star,2024-07-04,267000.0,2025-12-01,379500.0,514,90.42,52w_hi_exit
2025-11-03,37100.0,한국카본,017960,KR,5.0,3,ewha|smic|star,2024-09-26|2024-10-11|2025-10-31,18100.0|64000.0,2025-12-01,27400.0,28,-26.59,52w_hi_exit
2025-03-10,184100.0,코스맥스,192820,KR,5.0,4,ewha|smic|star|voera,2023-11-29|2024-02-16|2024-03-11|2025-03-08,142000.0|167700.0|147100.0|222100.0,2025-12-01,167400.0,266,-9.62,52w_hi_exit
2024-10-07,259000.0,휴젤,145020,KR,5.0,4,star|voera|yig,2023-01-02|2024-09-26|2024-10-04,387000.0|317500.0|318000.0,2025-11-03,267500.0,392,2.66,52w_hi_exit
2025-01-17,46250.0,펌텍코리아,251970,KR,5.0,3,kuvic|smic|star,2020-04-18|2025-01-16|2023-10-12,20224.0|68500.0|47000.0,2025-11-03,54300.0,290,16.7,52w_hi_exit
2024-08-26,74200.0,티앤엘,340570,KR,5.0,4,ewha|kuvic|star|voera,2020-11-20|2023-05-03|2023-11-20|2024-08-23,63300.0|105000.0|59100.0|113900.0,2025-07-01,59800.0,309,-19.89,52w_hi_exit
2023-10-16,70600.0,HD현대일렉트릭,267260,KR,5.0,2,ewha|smic,2022-10-07|2023-10-14,44250.0|140100.0,2025-04-01,300000.0,533,322.38,52w_hi_exit
2023-04-06,23566.0,인터로조,119610,KR,5.0,3,ewha|smic|voera,2022-04-09|2023-02-11|2023-04-05,45500.0|40400.0|42550.0,2025-02-27,18000.0,693,-24.08,52w_hi_exit
2024-04-15,236000.0,현대차,005380,KR,5.0,1,smic,2024-04-12,314900.0,2025-02-03,201000.0,294,-15.34,52w_hi_exit
2023-11-21,42750.0,HK이노엔,195940,KR,5.0,3,ewha|kuvic|star,2022-05-28|2023-09-25|2023-11-20,54312.0|63900.0|45000.0,2025-01-02,36300.0,408,-15.6,52w_hi_exit
2024-06-03,45150.0,덕산네오룩스,213420,KR,5.0,4,ewha|star|yig,2024-04-05|2023-05-04|2024-06-02,53200.0|65700.0|58500.0,2024-09-02,34100.0,91,-24.93,52w_hi_exit
2024-05-14,60200.0,하나투어,039130,KR,5.0,2,kuvic,2024-05-13,87800.0,2024-09-02,49700.0,111,-17.94,52w_hi_exit
2023-10-16,124700.0,SK하이닉스,000660,KR,5.0,1,smic,2023-10-13,164600.0,2024-09-02,173600.0,322,38.38,52w_hi_exit
2024-05-20,25200.0,서진시스템,178320,KR,5.0,3,kuvic|star,2023-08-14|2024-05-18,46150.0|43600.0,2024-09-02,24750.0,105,-2.37,52w_hi_exit
2024-05-30,7090.0,세진중공업,075580,KR,5.0,3,ewha|smic|star,2020-06-06|2023-04-26|2024-05-29,7790.0|10820.0,2024-09-02,7360.0,95,3.19,52w_hi_exit
2024-04-15,22550.0,한양디지텍,078350,KR,5.0,2,smic|star,2023-01-05|2024-04-12,24100.0|47800.0,2024-08-01,19000.0,108,-16.25,52w_hi_exit
2024-06-07,54600.0,데브시스터즈,194480,KR,5.0,2,smic|star,2024-05-03|2024-06-06,87700.0|80500.0,2024-08-01,49000.0,55,-10.79,52w_hi_exit
2023-11-03,90000.0,케이아이엔엑스,093320,KR,5.0,2,star|yig,2023-08-06|2023-11-02,99300.0|148000.0,2024-06-03,80500.0,213,-11.09,52w_hi_exit
2024-01-22,187000.0,파크시스템스,140860,KR,5.0,4,ewha|smic,2020-04-18|2024-01-20,55993.0|254300.0,2024-05-02,149000.0,101,-20.8,52w_hi_exit
2023-09-18,51700.0,두산테스나,131970,KR,5.0,3,smic|yig,2020-06-06|2023-09-15,83099.0|71300.0,2024-03-04,43450.0,168,-16.46,52w_hi_exit
2023-07-20,444000.0,HS효성첨단소재,298050,KR,5.0,2,ewha|star,2022-09-15|2023-07-19,616000.0,2024-02-01,325000.0,196,-27.24,52w_hi_exit
2023-06-02,9640.0,제이시스메디칼,287410,KR,5.0,3,ewha|smic|yig,2022-04-09|2022-11-09|2023-06-01,12250.0|15100.0|15420.0,2024-02-01,8550.0,244,-11.84,52w_hi_exit
2023-01-19,17450.0,파라다이스,034230,KR,5.0,2,star,2023-01-18,27700.0,2024-02-01,12690.0,378,-27.71,52w_hi_exit
2023-05-04,47700.0,티앤엘,340570,KR,5.0,4,star|voera,2020-11-20|2023-05-03,63300.0|105000.0,2024-01-02,39400.0,243,-17.9,52w_hi_exit
2023-04-10,86300.0,파마리서치,214450,KR,5.0,6,ewha|smic,2023-02-08|2023-04-07,107000.0|111300.0,2023-12-01,108800.0,235,25.32,52w_hi_exit
2023-03-16,26855.0,코윈테크,282880,KR,5.0,2,smic|star,2019-10-12|2023-03-15,41100.0|40200.0,2023-11-01,27550.0,230,1.97,52w_hi_exit
2023-05-08,13700.0,태웅,044490,KR,5.0,3,smic,2023-05-05,28600.0,2023-11-01,15540.0,177,12.75,52w_hi_exit
2022-08-04,21600.0,제이브이엠,054950,KR,5.0,3,star,2022-08-03,26320.0,2023-11-01,26500.0,454,21.95,52w_hi_exit
2023-05-25,9980.0,HD현대인프라코어,042670,KR,5.0,2,star,2023-05-24,14900.0,2023-11-01,6730.0,160,-32.97,52w_hi_exit
2023-06-13,260500.0,메디톡스,086900,KR,5.0,1,star,2023-06-12,377000.0,2023-11-01,206500.0,141,-21.2,52w_hi_exit
2023-05-22,24226.0,JW중외제약,001060,KR,5.0,2,ewha|smic,2022-05-28|2023-05-19,38300.0|35600.0,2023-11-01,25991.0,163,6.64,52w_hi_exit
2023-05-23,46050.0,ISC,095340,KR,5.0,2,star|voera,2021-11-17|2023-05-22,51000.0|55000.0,2023-10-04,77500.0,134,67.29,52w_hi_exit
2022-11-25,79200.0,씨에스윈드,112610,KR,5.0,6,ewha|kuvic|star|voera|yig,2020-08-22|2021-05-14|2022-05-18|2022-07-21|2022-11-24,107000.0|90900.0|79200.0|66210.0|113000.0,2023-10-04,53000.0,313,-33.48,52w_hi_exit
2023-03-13,8284.0,이수페타시스,007660,KR,5.0,3,ewha|smic,2022-11-05|2023-03-11,7600.0|15600.0,2023-10-04,26598.0,205,219.15,52w_hi_exit
