매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-05-27,94200.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 87≥80) → 익일 시가 진입",코미코,183300,KR,5.0,2,star|yig,2025-08-31|2025-09-24,87900.0|138000.0,2026-06-09,97800.0,13,3.2,mtt_stop
2026-06-05,656000.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 92≥80) → 익일 시가 진입",신세계,004170,KR,5.0,2,star|voera,2020-05-14|2026-03-14,278000.0|424500.0,2026-06-09,596000.0,4,-9.69,mtt_stop
2026-06-05,228500.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 99≥80) → 익일 시가 진입",주성엔지니어링,036930,KR,5.0,4,smic|star|voera|yig,2021-11-03|2022-04-01|2024-09-13|2026-05-22,26700.0|34100.0|31350.0|288820.0,2026-06-08,180200.0,3,-21.61,mtt_stop
2026-05-28,756000.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 93≥80) → 익일 시가 진입",현대오토에버,307950,KR,5.0,2,ewha|yig,2022-02-12|2025-07-31,222000.0,2026-06-05,800000.0,8,5.19,mtt_stop
2026-06-02,433000.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 88≥80) → 익일 시가 진입",로보티즈,108490,KR,5.0,3,smic|voera|yig,2025-03-01|2025-10-10|2025-10-23,45700.0|254100.0|355800.0,2026-06-05,328500.0,3,-24.59,mtt_stop
2026-05-22,72700.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 91≥80) → 익일 시가 진입",서진시스템,178320,KR,5.0,3,ewha|kuvic|star,2024-05-18|2024-08-23|2025-12-12,43600.0|38100.0|38360.0,2026-06-04,71800.0,13,-1.83,mtt_stop
2026-06-01,143900.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 95≥80) → 익일 시가 진입",기가비스,420770,KR,5.0,3,smic|star|yig,2023-05-24|2023-05-25|2026-03-14,84000.0|84800.0|153300.0,2026-06-04,128100.0,3,-11.51,mtt_stop
2026-05-26,119846.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 89≥80) → 익일 시가 진입",티엘비,356860,KR,5.0,2,ewha|smic,2024-11-07|2025-07-25,,2026-06-02,104300.0,7,-13.49,mtt_stop
2026-05-14,109500.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 93≥80) → 익일 시가 진입",피에스케이,319660,KR,5.0,2,star|yig,2026-03-17|2026-05-03,87400.0|127800.0,2026-06-01,95000.0,18,-13.76,mtt_stop
2026-05-22,147500.0,"MTT 템플릿 통과 (close>50MA>150MA>200MA, 200MA 상승, 52주저점×1.9↑, 52주고점×0.95↑, RS 96≥80) → 익일 시가 진입",대덕전자,353200,KR,5.0,2,star|voera,2025-12-12|2026-03-05,100100.0,2026-06-01,193000.0,10,30.06,mtt_take_profit_3.5R
