매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-03-04,6904.3737,동방메디컬,240550,KR,5.0,1,yig,2025-10-14,14520.0,2026-06-09,5900.0,97,-15.06,p_chandelier_ATR5.5
2026-02-09,339000.0,파마리서치,214450,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2025-08-22|2025-12-06|2024-09-14|2024-09-26|2024-11-11|2025-05-17,962000.0|805000.0|245000.0|250000.0|250000.0,2026-06-09,260000.0,120,-23.76,p_chandelier_ATR5.5
2025-03-31,72000.0,에스티팜,237690,KR,5.0,4,ewha|smic|star|yig,2024-04-13|2024-07-20|2023-07-22|2024-11-07,114301.0|128500.0|106200.0|160000.0,2026-06-08,114400.0,434,57.94,p_chandelier_ATR5.5
2026-03-24,18784.8864,아이센스,099190,KR,5.0,3,ewha|star|yig,2026-02-13|2023-11-02|2023-11-24,35400.0|40400.0|32200.0,2026-06-02,16600.0,70,-12.16,p_chandelier_ATR5.5
2026-04-17,36150.0,그래피,318060,KR,5.0,1,star,2026-02-13,87400.0,2026-05-29,24150.0,42,-33.6,p_chandelier_ATR5.5
2025-11-18,28150.0,한국카본,017960,KR,5.0,3,ewha|smic|star,2024-09-26|2024-10-11|2025-10-31,18100.0|64000.0,2026-05-28,35050.0,191,23.77,p_chandelier_ATR5.5
2026-03-05,24350.0,제이브이엠,054950,KR,5.0,3,ewha|star|yig,2022-08-03|2023-10-06|2025-10-14,26320.0|39700.0|41350.0,2026-05-21,23450.0,77,-4.27,p_chandelier_ATR5.5
2025-11-18,25050.0,태웅,044490,KR,5.0,3,kuvic|smic,2023-05-05|2025-06-26,28600.0|48000.0,2026-05-21,39000.0,184,54.76,p_chandelier_ATR5.5
2025-04-10,6370.0,우진,105840,KR,5.0,2,ewha|star,2022-05-12|2024-11-23,19200.0|12910.0,2026-05-21,21150.0,406,230.04,p_chandelier_ATR5.5
2025-11-19,3660.0,JTC,950170,KR,5.0,2,smic|yig,2023-04-07|2025-07-18,7100.0|9270.0,2026-04-17,4460.0,149,21.13,p_chandelier_ATR5.5
2026-01-22,2995.0,애니플러스,310200,KR,5.0,3,kuvic|smic|star,2025-05-30|2023-09-20|2025-08-22,7680.0|6300.0|9120.0,2026-03-24,2755.0,61,-8.56,p_chandelier_ATR5.5
