매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-01-26,35100.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: yig 2026-01-23, star 2025-12-12, ewha 2025-07-25, smic 2024-12-05)",RFHIC,218410,KR,5.0,4,ewha|smic|star|yig,2024-12-05|2025-07-25|2025-12-12|2026-01-23,17650.0|39500.0|42050.0|50500.0,2026-06-11,70000.0,136,98.24,r_chandelier_ATR5.0
2025-11-18,17130.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: kuvic 2025-11-17),제이에스링크,127120,KR,5.0,1,kuvic,2025-11-17,48200.0,2026-06-09,33000.0,203,91.49,r_chandelier_ATR5.0
2025-11-21,250000.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: kuvic 2025-11-20, smic 2020-05-31)",이오테크닉스,039030,KR,5.0,2,kuvic|smic,2020-05-31|2025-11-20,107593.0|416000.0,2026-06-09,404500.0,200,60.83,r_chandelier_ATR5.0
2026-01-02,115200.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: yig 2026-01-01, ewha 2021-08-21)",OCI홀딩스,010060,KR,5.0,2,ewha|yig,2021-08-21|2026-01-01,113156.0|159300.0,2026-06-09,270500.0,158,133.4,r_chandelier_ATR5.0
2025-11-26,95500.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: yig 2025-11-25, kuvic 2024-02-28)",HD건설기계,267270,KR,5.0,2,kuvic|yig,2024-02-28|2025-11-25,81000.0|128300.0,2026-06-01,147200.0,187,53.21,r_chandelier_ATR5.0
2026-03-05,74000.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: voera 2026-03-04, ewha 2024-10-05, star 2024-03-11)",코스메카코리아,241710,KR,5.0,3,ewha|star|voera,2024-03-11|2024-10-05|2026-03-04,62800.0|116600.0|99200.0,2026-05-28,69800.0,84,-6.24,r_chandelier_ATR5.0
2025-11-14,50900.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: yig 2025-11-13, ewha 2022-03-12)",심텍,222800,KR,5.0,2,ewha|yig,2022-03-12|2025-11-13,66900.0|84100.0,2026-03-05,47050.0,111,-8.12,r_chandelier_ATR5.0
2025-11-07,123200.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: yig 2025-11-06, star 2023-03-01, ewha 2022-11-25)",엘앤에프,066970,KR,5.0,3,ewha|star|yig,2022-11-25|2023-03-01|2025-11-06,261600.0|457300.0|184000.0,2025-12-29,99200.0,52,-19.96,r_chandelier_ATR5.0
2025-08-20,107000.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: kuvic 2025-08-19),산일전기,062040,KR,5.0,3,kuvic,2025-08-19,,2025-12-29,129200.0,131,20.02,r_chandelier_ATR5.0
2025-11-12,88700.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: smic 2025-11-11),지투지바이오,456160,KR,5.0,1,smic,2025-11-11,319800.0,2025-12-26,66800.0,44,-25.14,r_chandelier_ATR5.0
2025-08-20,490500.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: kuvic 2025-08-19),두산,000150,KR,5.0,2,kuvic,2025-08-19,,2025-12-17,834000.0,119,69.01,r_chandelier_ATR5.0
2025-10-13,185400.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 10.0%) (트리거: yig 2025-10-10, voera 2025-03-01)",로보티즈,108490,KR,5.0,3,voera|yig,2025-03-01|2025-10-10,45700.0|254100.0,2025-11-24,194800.0,42,4.44,r_chandelier_ATR5.0
2025-04-07,116200.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: ewha 2025-04-04, star 2024-09-11)",삼성전기,009150,KR,5.0,3,ewha|star,2024-09-11|2025-04-04,207500.0|187900.0,2025-11-19,208000.0,226,77.93,r_chandelier_ATR5.0
2025-04-14,104700.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: yig 2025-04-11),현대로템,064350,KR,5.0,2,yig,2025-04-11,137300.0,2025-11-19,189600.0,219,80.0,r_chandelier_ATR5.0
2025-03-11,14000.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: star 2025-03-10),삼성중공업,010140,KR,5.0,2,star,2025-03-10,19330.0,2025-11-19,25400.0,253,80.34,r_chandelier_ATR5.0
2025-01-10,12270.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: star 2025-01-09),한국카본,017960,KR,5.0,3,star,2025-01-09,18100.0,2025-11-18,28150.0,312,128.05,r_chandelier_ATR5.0
2025-01-10,24750.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: star 2025-01-09, ewha 2022-08-13)",성광벤드,014620,KR,5.0,2,ewha|star,2022-08-13|2025-01-09,17800.0|35650.0,2025-11-18,27350.0,312,9.84,r_chandelier_ATR5.0
2025-10-24,28800.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 20.8%) (트리거: smic 2025-10-23),마이크로컨텍솔,098120,KR,5.0,1,smic,2025-10-23,58200.0,2025-11-17,18740.0,24,-35.32,r_chandelier_ATR5.0
2025-04-21,19540.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: smic 2025-04-19, star 2025-03-10)",지엔씨에너지,119850,KR,5.0,3,smic|star,2025-03-10|2025-04-19,32000.0|39610.0,2025-11-17,32500.0,210,65.33,r_chandelier_ATR5.0
2025-10-24,288500.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 20.8%) (트리거: smic 2025-10-23, kuvic 2025-02-24, star 2025-01-09, yig 2024-06-28, ewha 2023-02-08, voera 2022-05-28)",하이브,352820,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2025-10-23|2022-05-28|2023-02-08|2025-01-09|2024-06-28|2025-02-24,393000.0|381500.0|229500.0|310300.0|400500.0|369600.0,2025-11-12,289000.0,19,-0.43,r_chandelier_ATR5.0
2025-10-15,10440.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 10.9%) (트리거: yig 2025-10-14),동방메디컬,240550,KR,5.0,1,yig,2025-10-14,14520.0,2025-11-10,8410.0,26,-19.93,r_chandelier_ATR5.0
2025-07-31,40850.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: voera 2025-07-30, kuvic 2024-11-14, ewha 2024-06-01, star 2024-03-11)",비에이치아이,083650,KR,5.0,4,ewha|kuvic|star|voera,2024-03-11|2024-06-01|2024-11-14|2025-07-30,10440.0|15150.0|16190.0|49000.0,2025-11-07,40500.0,99,-1.45,r_chandelier_ATR5.0
