매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-02-02,440000.0,hrp 월간 리밸런스 — 목표비중 0.3% 재조정 보유,현대모비스,012330,KR,5.0,1,ewha|smic,2021-08-21|2024-11-07,356000.0|386100.0,2026-06-01,770000.0,119,74.01,s_rebalance_exit
2026-04-01,381000.0,hrp 월간 리밸런스 — 목표비중 0.2% 신규 편입 (18개월 유효 리포트 유니버스),현대오토에버,307950,KR,5.0,1,ewha|yig,2022-02-12|2025-07-31,222000.0,2026-06-01,931000.0,61,142.89,s_rebalance_exit
2026-04-01,23450.0,hrp 월간 리밸런스 — 목표비중 0.1% 신규 편입 (18개월 유효 리포트 유니버스),우진,105840,KR,5.0,1,ewha|star,2022-05-28|2024-11-23,19200.0|12910.0,2026-06-01,20100.0,61,-14.8,s_rebalance_exit
2026-04-01,131700.0,hrp 월간 리밸런스 — 목표비중 0.9% 신규 편입 (18개월 유효 리포트 유니버스),오리온,271560,KR,5.0,1,ewha|smic|voera,2022-08-13|2024-06-07|2024-11-08,161500.0|116200.0|141900.0,2026-06-01,128800.0,61,-2.79,s_rebalance_exit
2026-04-01,7210.0,hrp 월간 리밸런스 — 목표비중 0.9% 신규 편입 (18개월 유효 리포트 유니버스),삼영,003720,KR,5.0,1,ewha|kuvic|star,2023-10-04|2024-10-07|2024-11-22,7820.0|7900.0,2026-06-01,9300.0,61,28.21,s_rebalance_exit
2026-02-02,28700.0,hrp 월간 리밸런스 — 목표비중 0.1% 재조정 보유,대한전선,001440,KR,5.0,1,ewha,2024-10-04,18230.0,2026-06-01,45450.0,119,57.68,s_rebalance_exit
2026-02-02,3635.0,hrp 월간 리밸런스 — 목표비중 0.8% 재조정 보유,에스트래픽,234300,KR,5.0,1,smic,2024-11-07,6900.0,2026-06-01,3020.0,119,-16.32,s_rebalance_exit
2025-01-02,105.19,hrp 월간 리밸런스 — 목표비중 0.9% 재조정 보유,SE,SE,US,5.0,1,yig,2024-11-09,148.05,2026-06-01,91.99,515,-11.47,s_rebalance_exit
2026-02-02,22950.0,hrp 월간 리밸런스 — 목표비중 0.7% 재조정 보유,대한항공,003490,KR,5.0,1,kuvic,2024-11-11,24500.0,2026-06-01,26000.0,119,12.61,s_rebalance_exit
2026-04-01,117800.0,hrp 월간 리밸런스 — 목표비중 0.2% 신규 편입 (18개월 유효 리포트 유니버스),유진테크,084370,KR,5.0,1,kuvic|star,2024-11-11|2025-12-12,119500.0,2026-06-01,121600.0,61,2.61,s_rebalance_exit
