매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-04-01,643000.0,LIG디펜스앤에어로스페이스,079550,KR,5.0,1,star|voera,2024-07-04|2025-02-26,267000.0|350000.0,2026-06-01,780000.0,61,20.58,s_rebalance_exit
2026-05-01,13.51,GRND,GRND,US,5.0,1,smic,2024-11-15,24.34,2026-06-01,12.46,31,-8.32,s_rebalance_exit
2026-05-01,22.13,LEVI,LEVI,US,5.0,1,smic,2024-11-15,26.33,2026-06-01,23.33,31,4.79,s_rebalance_exit
2026-05-01,67.71,ESTA,ESTA,US,5.0,1,smic,2025-11-21,118.76,2026-06-01,70.56,31,3.58,s_rebalance_exit
2026-04-01,19700.0,아이센스,099190,KR,5.0,1,ewha|star|yig,2026-02-13|2023-11-02|2023-11-24,35400.0|40400.0|32200.0,2026-06-01,17940.0,61,-9.48,s_rebalance_trim
2026-04-01,5680.0,신한알파리츠,293940,KR,5.0,1,star,2025-02-06,7700.0,2026-06-01,5250.0,61,-8.12,s_rebalance_trim
2026-05-01,13.3,CLBT,CLBT,US,5.0,1,smic,2025-05-16,29.7,2026-06-01,14.8,31,10.61,s_rebalance_trim
2026-05-01,24.93,DOCS,DOCS,US,5.0,1,smic,2025-05-16,75.4,2026-06-01,21.82,31,-13.0,s_rebalance_trim
2026-05-01,913.0,LITE,LITE,US,5.0,1,kuvic|smic,2025-12-06|2026-03-27,498.63|1216.0,2026-06-01,825.25,31,-10.15,s_rebalance_trim
2026-04-01,131700.0,오리온,271560,KR,5.0,1,ewha|smic|voera,2022-08-13|2024-05-30|2024-11-08,161500.0|116200.0|141900.0,2026-05-01,143600.0,30,8.38,s_rebalance_exit
2026-04-01,18.2897,LEVI,LEVI,US,5.0,1,smic,2024-11-15,26.33,2026-05-01,22.13,30,20.27,s_rebalance_trim
2026-04-01,13.98,CLBT,CLBT,US,5.0,1,smic,2025-05-16,29.7,2026-05-01,13.3,30,-5.43,s_rebalance_trim
2026-04-01,23.31,DOCS,DOCS,US,5.0,1,smic,2025-05-16,75.4,2026-05-01,24.93,30,6.31,s_rebalance_trim
2026-04-01,16.79,SRAD,SRAD,US,5.0,1,smic,2025-05-16,33.82,2026-05-01,13.21,30,-21.79,s_rebalance_trim
2026-04-01,88.2329,SXT,SXT,US,5.0,1,smic,2025-11-21,238.0,2026-05-01,114.9399,30,29.49,s_rebalance_trim
2026-04-01,96.9064,IRMD,IRMD,US,5.0,1,smic,2025-11-22,146.0,2026-05-01,80.9732,30,-16.94,s_rebalance_trim
2026-02-02,321500.0,신세계,004170,KR,5.0,1,star|voera,2020-05-14|2026-01-29,278000.0|424500.0,2026-04-01,314500.0,58,-2.76,s_rebalance_exit
2026-02-02,450000.0,현대오토에버,307950,KR,5.0,1,ewha|yig,2021-02-12|2025-07-31,222000.0,2026-04-01,381000.0,58,-15.84,s_rebalance_exit
2026-03-02,153.2152,GLW,GLW,US,5.0,1,smic,2025-10-18,144.0,2026-04-01,137.7888,30,-10.61,s_rebalance_exit
2026-02-02,42700.0,슈프리마,236200,KR,5.0,1,ewha|star,2024-08-23|2026-01-29,38810.0|89600.0,2026-04-01,47500.0,58,10.57,s_rebalance_exit
2026-03-02,4.86,FNKO,FNKO,US,5.0,1,smic,2024-11-16,16.1,2026-04-01,3.2,30,-34.55,s_rebalance_exit
2026-02-02,48800.0,아이티센글로벌,124500,KR,5.0,1,kuvic,2024-12-05,8320.0,2026-04-01,49550.0,58,0.93,s_rebalance_exit
2026-02-02,84600.0,에이치브이엠,295310,KR,5.0,1,ewha|yig,2025-02-21|2025-05-23,38050.0|38050.0,2026-04-01,81500.0,58,-4.24,s_rebalance_exit
2026-02-02,5760.0,폰드그룹,472850,KR,5.0,1,smic,2025-05-29,16057.0,2026-04-01,5100.0,58,-11.99,s_rebalance_exit
2026-02-02,20000.0,제이에스링크,127120,KR,5.0,1,kuvic,2025-11-17,48200.0,2026-04-01,38600.0,58,91.84,s_rebalance_exit
2026-03-02,42.58,IMAX,IMAX,US,5.0,1,smic,2025-11-21,54.6,2026-04-01,38.23,30,-10.75,s_rebalance_trim
2026-02-02,20650.0,비츠로셀,082920,KR,5.0,1,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2026-03-02,21150.0,28,1.81,s_rebalance_exit
2026-02-02,294500.0,파크시스템스,140860,KR,5.0,1,ewha|smic|star|yig,2020-04-18|2024-01-20|2025-02-06|2025-03-14,55993.0|254300.0|303000.0|283500.0,2026-03-02,288500.0,28,-2.62,s_rebalance_exit
2026-02-02,47550.0,스튜디오드래곤,253450,KR,5.0,1,ewha|star|voera,2020-09-04|2021-08-21|2025-02-20,116000.0|65700.0,2026-03-02,44650.0,28,-6.66,s_rebalance_exit
2026-02-02,202000.0,코스맥스,192820,KR,5.0,1,ewha|smic|star|voera,2023-11-29|2024-02-16|2024-03-11|2025-03-08,142000.0|167700.0|147100.0|222100.0,2026-03-02,190000.0,28,-6.5,s_rebalance_exit
2026-02-02,99600.0,현대건설,000720,KR,5.0,1,ewha|voera,2025-05-30|2025-07-30,93300.0|104971.0,2026-03-02,164700.0,28,64.37,s_rebalance_exit
2026-02-02,113000.0,OCI홀딩스,010060,KR,5.0,1,ewha|yig,2021-08-21|2026-01-01,113156.0|159300.0,2026-03-02,152000.0,28,33.71,s_rebalance_exit
2026-02-02,86700.0,엘앤씨바이오,290650,KR,5.0,1,ewha,2025-11-25,82900.0,2026-03-02,98600.0,28,13.04,s_rebalance_exit
2026-02-02,73000.0,클래시스,214150,KR,5.0,1,ewha|star,2022-10-06|2025-02-20,47700.0|71100.0,2026-03-02,58400.0,28,-20.48,s_rebalance_exit
2026-02-02,270500.0,휴젤,145020,KR,5.0,1,kuvic|star|voera|yig,2023-01-02|2024-09-26|2024-10-04|2024-11-11,387000.0|317500.0|318000.0|443520.0,2026-03-02,270000.0,28,-0.78,s_rebalance_exit
2026-02-02,88800.0,에스앤에스텍,101490,KR,5.0,1,kuvic|smic|star,2025-06-05|2024-04-07|2025-05-03,61300.0|89200.0|54700.0,2026-03-02,98700.0,28,10.48,s_rebalance_exit
2026-02-02,139500.0,한화오션,042660,KR,5.0,1,ewha|smic,2024-04-13|2025-11-29,54500.0|167100.0,2026-03-02,141200.0,28,0.61,s_rebalance_exit
2026-02-02,60200.0,피에스케이,319660,KR,5.0,1,yig,2024-09-13,28400.0,2026-03-02,64100.0,28,5.84,s_rebalance_exit
2026-02-02,9750.0,팅크웨어,084730,KR,5.0,1,yig,2025-03-14,14639.07,2026-03-02,9200.0,28,-6.21,s_rebalance_exit
2026-02-02,23700.0,노머스,473980,KR,5.0,1,smic,2025-04-11,37950.0,2026-03-02,18350.0,28,-23.04,s_rebalance_exit
2026-02-02,92800.0,디앤디파마텍,347850,KR,5.0,1,kuvic,2025-08-13,,2026-03-02,92400.0,28,-1.03,s_rebalance_exit
2026-02-02,68.76,ESTA,ESTA,US,5.0,1,smic,2025-11-21,118.76,2026-03-02,76.83,28,11.07,s_rebalance_exit
2026-02-02,4.05,FNKO,FNKO,US,5.0,1,smic,2024-11-16,16.1,2026-03-02,4.86,28,19.28,s_rebalance_trim
2026-01-02,88.6086,GLW,GLW,US,5.0,1,smic,2025-10-18,144.0,2026-02-02,102.8999,31,15.43,s_rebalance_exit
2026-01-02,1072.7597,LLY,LLY,US,5.0,1,smic|yig,2023-11-17|2024-09-28,745.2|1390.0,2026-02-02,1034.0611,31,-4.18,s_rebalance_exit
2026-01-02,13.66,GRND,GRND,US,5.0,1,smic,2024-11-15,24.34,2026-02-02,11.18,31,-18.65,s_rebalance_exit
2026-01-02,20.5594,LEVI,LEVI,US,5.0,1,smic,2024-11-15,26.33,2026-02-02,19.5522,31,-5.47,s_rebalance_exit
2026-01-02,44.65,DOCS,DOCS,US,5.0,1,smic,2025-05-16,75.4,2026-02-02,37.3,31,-16.96,s_rebalance_exit
2026-01-02,23.72,SRAD,SRAD,US,5.0,1,smic,2025-05-16,33.82,2026-02-02,18.03,31,-24.44,s_rebalance_exit
2026-01-02,73.93,CRWV,CRWV,US,5.0,1,smic,2025-10-17,,2026-02-02,92.835,31,24.82,s_rebalance_exit
2026-01-02,36.9,IMAX,IMAX,US,5.0,1,smic,2025-11-21,54.6,2026-02-02,34.8,31,-6.26,s_rebalance_exit
