매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-04-01,100000.0,피에스케이홀딩스,031980,KR,5.0,1,star,2026-03-26,155200.0,2026-06-01,107000.0,61,6.36,s_rebalance_exit
2026-05-01,4.37,FNKO,FNKO,US,5.0,1,smic,2024-11-16,16.1,2026-06-01,5.58,31,26.92,s_rebalance_exit
2026-04-01,1323000.0,한화에어로스페이스,012450,KR,5.0,1,smic,2025-04-12,1205000.0,2026-06-01,1173000.0,61,-11.87,s_rebalance_exit
2026-04-01,5100.0,폰드그룹,472850,KR,5.0,1,smic,2025-05-29,16057.0,2026-06-01,4300.0,61,-16.19,s_rebalance_exit
2026-04-01,55300.0,SK이터닉스,475150,KR,5.0,1,kuvic,2025-06-27,47400.0,2026-06-01,38200.0,61,-31.34,s_rebalance_exit
2026-05-01,114.11,CRWV,CRWV,US,5.0,1,smic,2025-10-17,,2026-06-01,114.775,31,-0.02,s_rebalance_exit
2026-05-01,913.0,LITE,LITE,US,5.0,1,kuvic|smic,2025-12-06|2026-03-27,498.63|1216.0,2026-06-01,825.25,31,-10.15,s_rebalance_exit
2026-04-01,43500.0,그래피,318060,KR,5.0,1,star,2026-02-13,87400.0,2026-06-01,22450.0,61,-48.7,s_rebalance_exit
2026-04-01,45800.0,스피어,347700,KR,5.0,1,yig,2026-03-31,111000.0,2026-06-01,37850.0,61,-17.85,s_rebalance_exit
2026-04-01,36750.0,비츠로셀,082920,KR,5.0,1,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2026-06-01,51000.0,61,37.94,s_rebalance_trim
2026-05-01,161.7721,GLW,GLW,US,5.0,1,smic,2025-10-18,144.0,2026-06-01,176.11,31,8.21,s_rebalance_trim
2026-04-01,37300.0,삼성E&A,028050,KR,5.0,1,smic|star,2025-09-25|2022-12-03,42700.0|33800.0,2026-06-01,50700.0,61,35.11,s_rebalance_trim
2026-04-01,77500.0,기가비스,420770,KR,5.0,1,smic|star|yig,2023-05-19|2023-05-24|2026-01-29,84800.0|84000.0|153300.0,2026-06-01,143900.0,61,84.57,s_rebalance_trim
2026-04-01,346000.0,에이피알,278470,KR,5.0,1,ewha|kuvic|smic|star|voera|yig,2024-05-03|2025-09-25|2025-02-07|2025-04-05|2025-05-12|2025-11-25,82800.0|318500.0|68800.0|100500.0|362500.0,2026-06-01,396000.0,61,13.77,s_rebalance_trim
2026-04-01,119200.0,더존비즈온,012510,KR,5.0,1,kuvic|star,2024-08-16|2025-02-20,75900.0|102100.0,2026-06-01,156000.0,61,30.09,s_rebalance_trim
2026-04-01,38600.0,제이에스링크,127120,KR,5.0,1,kuvic,2025-11-17,48200.0,2026-06-01,41000.0,61,5.58,s_rebalance_trim
2026-05-01,35.52,IMAX,IMAX,US,5.0,1,smic,2025-11-21,54.6,2026-06-01,39.3,31,9.98,s_rebalance_trim
2026-04-01,48550.0,파두,440110,KR,5.0,1,kuvic,2026-02-09,56400.0,2026-06-01,114500.0,61,134.43,s_rebalance_trim
2026-05-01,54.7634,GLNG,GLNG,US,5.0,1,smic,2026-04-10,,2026-06-01,49.5,31,-10.15,s_rebalance_trim
2026-04-01,29250.0,SK오션플랜트,100090,KR,5.0,1,ewha|star,2024-10-05|2025-08-07,20090.0|32100.0,2026-05-01,24550.0,30,-16.57,s_rebalance_exit
2026-04-01,4865.0,JTC,950170,KR,5.0,1,smic|yig,2023-04-07|2025-07-18,7100.0|9270.0,2026-05-01,4105.0,30,-16.13,s_rebalance_exit
2026-04-01,643000.0,LIG디펜스앤에어로스페이스,079550,KR,5.0,1,star|voera,2024-07-04|2025-02-26,267000.0|350000.0,2026-05-01,941000.0,30,45.47,s_rebalance_exit
2026-04-01,84000.0,피에스케이,319660,KR,5.0,1,star|yig,2026-03-17|2026-03-26,87400.0|127800.0,2026-05-01,88700.0,30,4.96,s_rebalance_exit
2026-04-01,96.9064,IRMD,IRMD,US,5.0,1,smic,2025-11-22,146.0,2026-05-01,80.9732,30,-16.94,s_rebalance_exit
2026-04-01,137.7888,GLW,GLW,US,5.0,1,smic,2025-10-18,144.0,2026-05-01,161.7721,30,16.7,s_rebalance_trim
2026-04-01,38.23,IMAX,IMAX,US,5.0,1,smic,2025-11-21,54.6,2026-05-01,35.52,30,-7.65,s_rebalance_trim
2026-04-01,734.875,LITE,LITE,US,5.0,1,kuvic|smic,2025-12-06|2026-03-27,498.63|1216.0,2026-05-01,913.0,30,23.49,s_rebalance_trim
2026-02-02,440000.0,현대모비스,012330,KR,5.0,1,ewha|smic,2021-08-21|2024-11-01,356000.0|386100.0,2026-04-01,397000.0,58,-10.31,s_rebalance_exit
2026-02-02,42600.0,주성엔지니어링,036930,KR,5.0,1,smic|star|yig,2021-10-16|2022-03-16|2024-09-13,26700.0|34100.0|31350.0,2026-04-01,65900.0,58,53.77,s_rebalance_exit
2026-02-02,92000.0,코스메카코리아,241710,KR,5.0,1,ewha|star,2024-02-12|2024-10-05,62800.0|116600.0,2026-04-01,81500.0,58,-11.94,s_rebalance_exit
2026-02-02,100700.0,리노공업,058470,KR,5.0,1,voera|yig,2024-07-30|2024-09-13,48195.1,2026-04-01,99700.0,58,-1.59,s_rebalance_exit
2026-03-02,21.5401,LEVI,LEVI,US,5.0,1,smic,2024-11-15,26.33,2026-04-01,18.2897,30,-15.6,s_rebalance_exit
2026-02-02,211500.0,한국금융지주,071050,KR,5.0,1,star,2025-05-29,136000.0,2026-04-01,216500.0,58,1.75,s_rebalance_exit
2026-02-02,228500.0,NC,036570,KR,5.0,1,star,2025-08-07,330500.0,2026-04-01,229500.0,58,-0.16,s_rebalance_exit
2026-02-02,835000.0,두산,000150,KR,5.0,1,kuvic|smic,2025-08-19|2025-11-01,1874000.0,2026-04-01,1114000.0,58,32.61,s_rebalance_exit
2026-02-02,31300.0,현대무벡스,319400,KR,5.0,1,star,2025-08-22,6400.0,2026-04-01,25200.0,58,-19.97,s_rebalance_exit
2026-02-02,53529.0,씨어스,458870,KR,5.0,1,star|yig,2025-12-12|2025-11-06,37720.0|44407.77,2026-04-01,52000.0,58,-3.44,s_rebalance_exit
2026-02-02,70300.0,테스,095610,KR,5.0,1,yig,2025-09-24,55200.0,2026-04-01,58900.0,58,-16.72,s_rebalance_exit
