매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-04-15,37300.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: yig 2026-04-14, star 2023-02-16)",DN오토모티브,007340,KR,5.0,2,star|yig,2023-02-16|2026-04-14,27887.02|60800.0,2026-06-09,38600.0,55,2.81,t_chandelier_ATR4.25
2026-05-21,254000.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: voera 2026-05-20, star 2022-08-16)",LS ELECTRIC,010120,KR,5.0,2,star|voera,2022-08-16|2026-05-20,15325.38|360000.0,2026-06-09,218500.0,19,-14.53,t_chandelier_ATR4.25
2026-05-19,17280.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: kuvic 2026-05-18, star 2026-03-14, ewha 2020-11-21, smic 2020-10-31)",진성티이씨,036890,KR,5.0,4,ewha|kuvic|smic|star,2020-11-21|2020-10-31|2026-03-14|2026-05-18,13250.0|20350.0|27000.0|29000.0,2026-06-09,12680.0,21,-27.1,t_chandelier_ATR4.25
2025-11-21,250000.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: kuvic 2025-11-20, smic 2020-05-31)",이오테크닉스,039030,KR,5.0,2,kuvic|smic,2020-05-31|2025-11-20,107593.0|416000.0,2026-06-09,404500.0,200,60.75,t_chandelier_ATR4.25
2026-05-22,74600.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: kuvic 2026-05-21, yig 2026-04-14, star 2026-03-14, smic 2024-12-05)",한화엔진,082740,KR,5.0,4,kuvic|smic|star|yig,2026-03-14|2024-12-05|2026-04-14|2026-05-21,73700.0|24352.0|64200.0|121000.0,2026-06-09,52000.0,18,-30.75,t_chandelier_ATR4.25
2026-01-26,35100.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: yig 2026-01-23, star 2025-12-12, ewha 2025-07-25, smic 2024-12-05)",RFHIC,218410,KR,5.0,4,ewha|smic|star|yig,2024-12-05|2025-07-25|2025-12-12|2026-01-23,17650.0|39500.0|42050.0|50500.0,2026-06-09,78600.0,134,122.48,t_chandelier_ATR4.25
2026-03-06,59300.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: voera 2026-03-05, star 2025-12-12)",대덕전자,353200,KR,5.0,2,star|voera,2025-12-12|2026-03-05,100100.0,2026-06-09,148600.0,95,148.96,t_chandelier_ATR4.25
2026-03-05,74000.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: voera 2026-03-04, ewha 2024-10-05, star 2024-03-11)",코스메카코리아,241710,KR,5.0,3,ewha|star|voera,2024-03-11|2024-10-05|2026-03-04,62800.0|116600.0|99200.0,2026-05-28,69800.0,84,-6.29,t_chandelier_ATR4.25
2026-04-01,73300.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: yig 2026-03-31),포스코인터내셔널,047050,KR,5.0,1,yig,2026-03-31,99800.0,2026-05-21,69000.0,50,-6.48,t_chandelier_ATR4.25
2025-11-26,95500.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: yig 2025-11-25, kuvic 2024-02-28)",HD건설기계,267270,KR,5.0,2,kuvic|yig,2024-02-28|2025-11-25,81000.0|128300.0,2026-05-21,163900.0,176,70.51,t_chandelier_ATR4.25
