매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-03-27,110100.0,이수페타시스,007660,KR,5.0,3,ewha|smic|star,2022-11-05|2025-05-31|2026-03-26,7600.0|57350.0|176700.0,2026-06-09,110000.0,74,-0.74,u_chandelier_ATR5.5
2025-11-14,146000.0,산일전기,062040,KR,5.0,3,ewha|kuvic|star,2025-08-19|2025-10-03|2025-11-13,156800.0|220100.0,2026-06-04,224000.0,202,52.43,u_chandelier_ATR5.5
2026-01-02,225000.0,SK가스,018670,KR,5.0,3,kuvic|star|yig,2024-05-04|2025-02-25|2026-01-01,320000.0|318500.0,2026-06-02,228000.0,151,0.68,u_chandelier_ATR5.5
2025-09-26,72500.0,삼성증권,016360,KR,5.0,1,star,2025-09-25,99700.0,2026-05-20,114500.0,236,56.91,u_chandelier_ATR5.5
2025-09-26,72500.0,삼성증권,016360,KR,5.0,1,star,2025-09-25,99700.0,2026-05-04,137900.0,220,88.97,u_scaleout1_ext8.8x
2025-11-14,146000.0,산일전기,062040,KR,5.0,3,ewha|kuvic|star,2025-08-19|2025-10-03|2025-11-13,156800.0|220100.0,2026-05-04,333500.0,171,126.94,u_scaleout2_ext15.4x
2025-08-04,272500.0,한미약품,128940,KR,5.0,3,ewha|star|yig,2025-01-24|2025-04-10|2025-08-01,360500.0|406000.0|516900.0,2026-04-30,481500.0,269,75.55,u_chandelier_ATR5.5
2025-11-14,146000.0,산일전기,062040,KR,5.0,3,ewha|kuvic|star,2025-08-19|2025-10-03|2025-11-13,156800.0|220100.0,2026-04-30,266000.0,167,81.01,u_scaleout1_ext9.3x
2025-04-07,116200.0,삼성전기,009150,KR,5.0,3,ewha|star,2024-08-16|2025-04-04,207500.0|187900.0,2026-04-21,772000.0,379,560.06,u_scaleout2_ext13.1x
2025-11-24,36.03,IMAX,IMAX,US,5.0,1,smic,2025-11-21,54.6,2026-04-20,35.0,147,-3.49,u_chandelier_ATR5.5
2026-01-02,115200.0,OCI홀딩스,010060,KR,5.0,2,ewha|yig,2021-08-21|2026-01-01,113156.0|159300.0,2026-04-16,300000.0,104,158.73,u_scaleout1_ext9.3x
2025-11-24,67.34,ESTA,ESTA,US,5.0,1,smic,2025-11-21,118.76,2026-03-25,58.79,121,-13.26,u_chandelier_ATR5.5
2025-11-07,310000.0,삼성SDI,006400,KR,5.0,1,star,2025-11-06,479000.0,2025-12-19,280000.0,42,-10.26,u_chandelier_ATR5.5
2025-09-25,44250.0,테스,095610,KR,5.0,1,yig,2025-09-24,55200.0,2025-12-16,37150.0,82,-16.59,u_chandelier_ATR5.5
