매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-04-01,36750.0,비츠로셀,082920,KR,5.0,1,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2026-06-01,51000.0,61,37.94,s_rebalance_exit
2026-04-01,57501.0,코미코,183300,KR,5.0,1,star|yig,2025-07-24|2025-09-24,87900.0|138000.0,2026-06-01,87000.0,61,50.4,s_rebalance_trim
2026-04-01,127700.0,대주전자재료,078600,KR,5.0,1,ewha|star,2021-11-27|2025-08-22,142000.0|116900.0,2026-05-01,158500.0,30,23.38,s_rebalance_exit
2026-04-01,29250.0,SK오션플랜트,100090,KR,5.0,1,ewha|star,2024-10-05|2025-08-07,20090.0|32100.0,2026-05-01,24550.0,30,-16.57,s_rebalance_exit
2026-04-01,51000.0,태웅,044490,KR,5.0,1,ewha|kuvic|smic,2023-05-05|2025-06-26|2026-01-24,28600.0|48000.0|45800.0,2026-05-01,53000.0,30,3.3,s_rebalance_exit
2026-04-01,77500.0,기가비스,420770,KR,5.0,1,smic|star|yig,2023-05-19|2023-05-24|2026-01-29,84800.0|84000.0|153300.0,2026-05-01,103900.0,30,33.26,s_rebalance_exit
2026-04-01,79800.0,RFHIC,218410,KR,5.0,1,ewha|smic|star|yig,2024-11-29|2025-07-25|2025-09-25|2026-01-23,17650.0|39500.0|42050.0|50500.0,2026-05-01,94300.0,30,17.46,s_rebalance_exit
2026-02-02,27600.0,한화솔루션,009830,KR,5.0,1,ewha|kuvic|smic,2025-05-03|2021-03-13|2024-06-27,91200.0|59700.0|49500.0,2026-04-01,38150.0,58,37.4,s_rebalance_exit
2026-02-02,193900.0,쎄트렉아이,099320,KR,5.0,1,ewha|star,2024-11-07|2025-02-21,71400.0|76400.0,2026-04-01,171000.0,58,-12.34,s_rebalance_exit
2026-02-02,48800.0,아이티센글로벌,124500,KR,5.0,1,kuvic,2024-12-05,8320.0,2026-04-01,49550.0,58,0.93,s_rebalance_exit
2026-02-02,20650.0,비츠로셀,082920,KR,5.0,1,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2026-04-01,36750.0,58,76.9,s_rebalance_trim
2026-02-02,52900.0,기가비스,420770,KR,5.0,1,smic|star|yig,2023-05-19|2023-05-24|2026-01-29,84800.0|84000.0|153300.0,2026-04-01,77500.0,58,45.63,s_rebalance_trim
2026-02-02,450000.0,현대오토에버,307950,KR,5.0,1,ewha|yig,2021-02-12|2025-07-31,222000.0,2026-03-02,501000.0,28,10.67,s_rebalance_exit
2026-02-02,60812.0,코미코,183300,KR,5.0,1,star|yig,2025-07-24|2025-09-24,87900.0|138000.0,2026-03-02,56636.0,28,-7.43,s_rebalance_exit
2026-01-02,67700.0,SOOP,067160,KR,5.0,1,ewha|smic|voera,2021-09-15|2022-02-12|2024-10-11,185200.0|173000.0|182500.0,2026-02-02,73500.0,31,7.92,s_rebalance_exit
2026-01-02,13.66,GRND,GRND,US,5.0,1,smic,2024-11-15,24.34,2026-02-02,11.18,31,-18.65,s_rebalance_exit
2026-01-02,3.43,FNKO,FNKO,US,5.0,1,smic,2024-11-16,16.1,2026-02-02,4.05,31,17.37,s_rebalance_exit
2026-01-02,326500.0,현대오토에버,307950,KR,5.0,1,ewha|yig,2021-02-12|2025-07-31,222000.0,2026-02-02,450000.0,31,37.0,s_rebalance_trim
2026-01-02,44819.0,코미코,183300,KR,5.0,1,star|yig,2025-07-24|2025-09-24,87900.0|138000.0,2026-02-02,60812.0,31,34.87,s_rebalance_trim
2025-12-01,16130.0,인카금융서비스,211050,KR,5.0,1,kuvic|smic|star,2023-11-29|2024-10-11|2025-11-26,4101.93|8100.0|36700.0,2026-01-02,12970.0,32,-20.07,s_rebalance_exit
2025-12-01,12120.0,하이텍팜,106190,KR,5.0,1,star,2024-08-16,36730.0,2026-01-02,12030.0,32,-1.34,s_rebalance_exit
2025-12-01,10960.0,고려신용정보,049720,KR,5.0,1,smic,2025-05-29,18600.0,2026-01-02,10560.0,32,-4.23,s_rebalance_exit
2025-12-01,15493.0,비츠로셀,082920,KR,5.0,1,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2026-01-02,17690.0,32,13.5,s_rebalance_trim
2025-12-01,69300.0,SOOP,067160,KR,5.0,1,ewha|smic|voera,2021-09-15|2022-02-12|2024-10-11,185200.0|173000.0|182500.0,2026-01-02,67700.0,32,-2.89,s_rebalance_trim
2025-12-01,45431.0,코미코,183300,KR,5.0,1,star|yig,2025-07-24|2025-09-24,87900.0|138000.0,2026-01-02,44819.0,32,-1.94,s_rebalance_trim
2025-11-03,50700.0,비에이치아이,083650,KR,5.0,1,ewha|kuvic|star|voera,2025-07-24|2024-05-31|2024-11-14|2025-07-30,61600.0|15150.0|16190.0|49000.0,2025-12-01,45100.0,28,-11.58,s_rebalance_exit
2025-11-03,260000.0,에이피알,278470,KR,5.0,1,ewha|kuvic|smic|star|yig,2024-05-03|2025-09-25|2025-02-07|2025-04-05|2025-05-12,82800.0|318500.0|68800.0|100500.0,2025-12-01,258000.0,28,-1.36,s_rebalance_exit
2025-11-03,205.045,PLTR,PLTR,US,5.0,1,smic,2024-05-17,40.89,2025-12-01,165.0,28,-20.01,s_rebalance_exit
2025-11-03,37100.0,한국카본,017960,KR,5.0,1,ewha|smic|star,2024-09-26|2024-10-11|2025-10-31,18100.0|64000.0,2025-12-01,27400.0,28,-26.59,s_rebalance_exit
2025-11-03,13954.0,비츠로셀,082920,KR,5.0,1,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2025-12-01,15493.0,28,10.36,s_rebalance_trim
2025-11-03,31000.0,한화솔루션,009830,KR,5.0,1,ewha|kuvic|smic,2025-05-03|2021-03-13|2024-06-27,91200.0|59700.0|49500.0,2025-12-01,28050.0,28,-10.06,s_rebalance_trim
2025-10-01,17280.0,한양디지텍,078350,KR,5.0,1,smic|star,2023-01-05|2024-04-12,24100.0|47800.0,2025-11-03,22950.0,33,32.02,s_rebalance_exit
2025-10-01,303.99,LEU,LEU,US,5.0,1,smic|star,2024-05-17|2025-05-29,255.98,2025-11-03,350.73,33,14.68,s_rebalance_exit
2025-10-01,13390.0,하이텍팜,106190,KR,5.0,1,star,2024-08-16,36730.0,2025-11-03,12720.0,33,-5.57,s_rebalance_exit
2025-10-01,45950.0,피에스케이홀딩스,031980,KR,5.0,1,star,2024-09-11,89300.0,2025-11-03,49300.0,33,6.65,s_rebalance_exit
2025-10-01,49862.0,코미코,183300,KR,5.0,1,star|yig,2025-07-24|2025-09-24,87900.0|138000.0,2025-11-03,55566.0,33,10.77,s_rebalance_trim
2025-09-01,62000.0,SNT에너지,100840,KR,5.0,1,smic|star|yig,2022-12-02|2023-05-24|2025-04-11,12884.09|11505.28|47000.0,2025-10-01,54200.0,30,-13.1,s_rebalance_exit
2025-09-01,680000.0,파마리서치,214450,KR,5.0,1,ewha|kuvic|smic|star|voera|yig,2025-08-22|2023-04-07|2024-09-14|2024-09-26|2024-11-11|2025-05-17,962000.0|111300.0|245000.0|250000.0|250000.0,2025-10-01,600000.0,30,-12.29,s_rebalance_exit
2025-09-01,46800.0,한화엔진,082740,KR,5.0,1,smic|star,2024-03-11|2024-11-29,12430.0|24352.0,2025-10-01,45800.0,30,-2.72,s_rebalance_exit
2025-09-01,56600.0,비에이치아이,083650,KR,5.0,1,ewha|kuvic|star|voera,2025-07-24|2024-05-31|2024-11-14|2025-07-30,61600.0|15150.0|16190.0|49000.0,2025-10-01,46900.0,30,-17.63,s_rebalance_exit
2025-09-01,225500.0,에이피알,278470,KR,5.0,1,ewha|kuvic|smic|star|yig,2024-05-03|2024-05-16|2025-02-07|2025-04-05|2025-05-12,82800.0|114371.21|68800.0|100500.0,2025-10-01,253000.0,30,11.52,s_rebalance_exit
2025-08-01,201.22,LEU,LEU,US,5.0,1,smic|star,2024-05-17|2025-05-29,255.98,2025-10-01,303.99,61,50.17,s_rebalance_trim
2025-08-01,15670.0,비츠로셀,082920,KR,5.0,1,smic|star|yig,2019-11-02|2023-10-05|2025-05-15,16829.0|25700.0|37550.0,2025-09-01,14206.0,31,-9.89,s_rebalance_exit
2025-08-01,30800.0,한화솔루션,009830,KR,5.0,1,ewha|kuvic|smic,2025-05-03|2021-03-13|2024-06-27,91200.0|59700.0|49500.0,2025-09-01,27950.0,31,-9.8,s_rebalance_exit
2025-08-01,76600.0,SAMG엔터,419530,KR,5.0,1,kuvic|star,2025-03-27|2025-06-27,40700.0,2025-09-01,57600.0,31,-25.25,s_rebalance_exit
2025-08-01,34735.0,코미코,183300,KR,5.0,1,star,2025-07-24,87900.0,2025-09-01,40439.0,31,15.72,s_rebalance_exit
2025-08-01,155.05,PLTR,PLTR,US,5.0,1,smic,2024-05-17,40.89,2025-09-01,156.71,31,0.47,s_rebalance_exit
2025-07-01,214500.0,HD현대미포,010620,KR,5.0,1,ewha|kuvic|smic|star,2021-02-20|2025-05-08|2024-08-16|2025-05-02,69100.0|219500.0|193000.0|250000.0,2025-08-01,210000.0,31,-2.68,s_rebalance_exit
2025-07-01,499500.0,파마리서치,214450,KR,5.0,1,ewha|kuvic|smic|star|voera|yig,2023-02-08|2023-04-07|2024-09-14|2024-09-26|2024-11-11|2025-05-17,107000.0|111300.0|245000.0|250000.0|250000.0,2025-08-01,535000.0,31,6.47,s_rebalance_exit
2025-07-01,9343.0,크라우드웍스,355390,KR,5.0,1,star,2024-03-11,64500.0,2025-08-01,8390.0,31,-10.74,s_rebalance_exit
2025-07-01,173.17,LEU,LEU,US,5.0,1,smic|star,2024-05-17|2025-05-29,255.98,2025-08-01,201.22,31,15.5,s_rebalance_trim
2025-07-01,135.27,PLTR,PLTR,US,5.0,1,smic,2024-05-17,40.89,2025-08-01,155.05,31,13.94,s_rebalance_trim
