매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-04-01,21250.0,엠씨넥스,097520,KR,5.0,1,ewha|star,2021-02-20|2025-08-22,70000.0|43700.0,2026-05-01,23000.0,30,7.59,s_rebalance_exit
2026-04-01,59500.0,SOOP,067160,KR,5.0,1,ewha|smic|voera,2021-09-15|2022-02-12|2024-10-11,185200.0|173000.0|182500.0,2026-05-01,58400.0,30,-2.44,s_rebalance_exit
2026-04-01,2770.0,애니플러스,310200,KR,5.0,1,kuvic|smic|star,2025-05-30|2023-09-20|2025-08-22,7680.0|6300.0|9120.0,2026-05-01,2840.0,30,1.91,s_rebalance_exit
2026-04-01,305500.0,파마리서치,214450,KR,5.0,1,ewha|kuvic|smic|star|voera|yig,2025-08-22|2025-12-06|2024-09-14|2024-09-26|2024-11-11|2025-05-17,962000.0|805000.0|245000.0|250000.0|250000.0,2026-05-01,313500.0,30,2.0,s_rebalance_exit
2026-04-01,12090.0,인카금융서비스,211050,KR,5.0,1,kuvic|smic|star,2023-11-29|2024-10-11|2025-11-26,4101.93|8100.0|36700.0,2026-05-01,10820.0,30,-11.04,s_rebalance_exit
2026-04-01,41500.0,하나투어,039130,KR,5.0,1,kuvic|star,2024-05-13|2024-12-05,87800.0|96700.0,2026-05-01,41850.0,30,0.24,s_rebalance_exit
2026-04-01,84.13,SE,SE,US,5.0,1,yig,2024-11-09,148.05,2026-05-01,86.03,30,1.65,s_rebalance_exit
2026-02-02,9990.0,고려신용정보,049720,KR,5.0,1,smic,2025-05-29,18600.0,2026-04-01,10270.0,58,2.19,s_rebalance_exit
2026-02-02,27600.0,한화솔루션,009830,KR,5.0,1,ewha|kuvic|smic,2025-05-03|2021-03-13|2024-06-27,91200.0|59700.0|49500.0,2026-03-02,53000.0,28,90.88,s_rebalance_exit
2026-02-02,73500.0,SOOP,067160,KR,5.0,1,ewha|smic|voera,2021-09-15|2022-02-12|2024-10-11,185200.0|173000.0|182500.0,2026-03-02,70900.0,28,-4.12,s_rebalance_exit
