매수일,매수가(시가),종목명,티커,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들(원),매도일,매도가,보유일수,수익률(%),매도사유
2025-05-28,64700.0,현대건설,000720,5.0,2,ewha,2025-05-27,,2026-05-28,144000.0,365,121.23,12개월_만기
2025-05-28,43300.0,두산에너빌리티,034020,5.0,2,kuvic|yig,2025-05-12|2025-05-27,64200|56300,2026-05-28,110600.0,365,153.9,12개월_만기
2025-05-30,18970.0,월덱스,101160,5.0,2,ewha|smic,2023-02-11|2025-05-29,31050|26250,2026-05-28,26550.0,363,39.12,12개월_만기
2025-05-26,25950.0,에이치브이엠,295310,5.0,2,ewha|yig,2025-02-21|2025-05-23,38050|38050,2026-05-26,117700.0,365,350.85,12개월_만기
2025-05-14,83700.0,한국콜마,161890,5.0,2,kuvic|yig,2025-05-08|2025-05-13,106929,2026-05-14,96600.0,365,14.72,12개월_만기
2025-03-28,103900.0,현대로템,064350,5.0,2,star,2025-03-27,157500,2026-03-30,175500.0,367,67.9,12개월_만기
2025-01-31,21200.0,동성화인텍,033500,5.0,3,ewha|smic|voera,2024-07-26|2024-11-29|2025-01-24,19730|20600|29730,2026-01-28,28200.0,362,32.22,12개월_만기
2025-01-17,75600.0,JYP Ent.,035900,5.0,3,ewha|smic|star,2024-11-30|2022-08-13|2025-01-16,116604|75100|114500,2026-01-19,68700.0,367,-9.67,12개월_만기
2025-01-17,46250.0,펌텍코리아,251970,5.0,3,kuvic|smic|star,2020-04-18|2025-01-16|2023-10-12,20224|68500|47000,2026-01-19,54400.0,367,16.92,12개월_만기
2024-12-09,101600.0,리가켐바이오,141080,5.0,2,kuvic|star,2023-07-03|2024-12-06,126800|165000,2025-12-09,185500.0,365,81.48,12개월_만기
2024-11-29,38450.0,HL만도,204320,5.0,3,ewha|star,2023-05-27|2024-11-28,63300|57500,2025-11-28,45150.0,364,16.72,12개월_만기
2024-11-21,22800.0,일진전기,103590,5.0,2,ewha|yig,2024-11-14|2024-11-20,36900|42450,2025-11-21,53700.0,365,134.12,12개월_만기
2024-11-21,27150.0,실리콘투,257720,5.0,3,kuvic|yig,2023-10-12|2024-11-20,17602|60000,2025-11-21,46400.0,365,69.88,12개월_만기
